report,case_name,court,docket,decision_date
f01,"RIVER HILL COAL COMPANY, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",PENN 2014-0956-R,"October 2, 2018"
f02,MORTON SALT INC.,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",CENT 2023-0287,"October 11, 2022"
f03,CONSOL PENNSYLVANIA COAL COMPANY LLC,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",PENN 2018-0169,"October 11, 2019"
f04,NORTHSHORE MINING COMPANY,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",LAKE 2018-0177,"October 17, 2018"
f05,ROBINSON NEVADA MINING COMPANY,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2017-0135-DM,"October 19, 2017"
f06,"LEHIGH ANTHRACITE COAL, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",PENN 2014-0108,"October 19, 2018"
f07,"PEABODY SOUTHEAST MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",SE 2019-0075,"October 20, 2020"
f08,"CONSOL PENNSYLVANIA COAL CO., LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",PENN 2019-0100,"October 21, 2020"
f09,"HEIDELBERG MATERIALS NORTHEAST, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",PENN 2024-0057,"September 17, 2024"
f10,"PENNYRILE ENERGY, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",KENT 2018-0004-D,"September 27, 2017"
f11,"ROCKWELL MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2018-0048-D,"January 6, 2020"
f12,CAPURRO TRUCKING,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2021-0183,"November 25, 2019"
f13,"WARRIOR MET COAL MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",SE 2021-0152,"January 25, 2021"
f14,"SYAR INDUSTRIES, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2018-0223,"November 5, 2019"
f15,THE MARION COUNTY COAL COMPANY,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2018-423-D,"November 6, 2019"
f16,"XMV, INC., and DEBRA VAUGHAN","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2022-0114-D,"January 3, 2022"
f17,"SOLVAY CHEMICALS, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2020-0278-M,"January 31, 2020"
f18,"SYAR INDUSTRIES, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2018-0135-DM,"January 11, 2018"
f19,MARSHALL COUNTY COAL CO.,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2016-565-D,"January 11, 2018"
f20,"APPALACHIAN RESOURCE WEST VIRGINIA, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2022-0301,"January 10, 2022"
f21,"APPALACHIAN RESOURCE WEST VIRGINIA, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2022-0428,"January 18, 2022"
f22,"HOOVER EXCAVATING & TRUCKING, INC., and its successors","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2019-0268,"November 13, 2019"
f23,PERFORMANCE CONTRACTING INC.,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2018-0339,"November 15, 2018"
f24,"HOOVER EXCAVATING & TRUCKING, INC., and its successors","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2019-0092,"November 20, 2019"
f25,"GRIMES ROCK, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2021-0178-DM,"November 28, 2023"
f26,"BRODY MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2009-1000,"May 23, 2011"
f27,"SOLAR SOURCES, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",LAKE 2017-0052,"July 25, 2017"
f28,"COEUR ALASKA, INCORPORATED","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2017-0080-DM,"May 9, 2016"
f29,"MARTIN MARIETTA MATERIALS SOUTHWEST, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",CENT 2018-0179,"November 29, 2018"
f30,"M-CLASS MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",LAKE 2018-0188-R,"January 14, 2019"
f31,"RICHMOND SAND & STONE, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",YORK 2018-0031-M,"January 17, 2019"
f32,"IRON CUMBERLAND, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",PENN 2022-0084,"May 26, 2022"
f33,"VULCAN CONSTRUCTION MATERIALS, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",SE 2022-0001,"December 1, 2022"
f34,FREEPORT-MCMORAN BAGDAD INC.,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2019-0382-DM,"December 2, 2020"
f35,CALPORTLAND COMPANY,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2018-0402-DM,"June 11, 2021"
f36,"CONSOL PENNSYLVANIA COAL COMPANY, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",PENN 2021-0118,"August 25, 2022"
f37,THE NATIONAL LIME AND STONE COMPANY,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",LAKE 2024-0064,"April 9, 2024"
f38,SIMS CRANE,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",SE 2017-0097,"July 7, 2017"
f39,"ROCKWELL MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2023-0126,"September 26, 2022"
f40,CALPORTLAND COMPANY,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2018-0402-DM,"December 10, 2018"
f41,"MARTIN MARIETTA MATERIALS SOUTHWEST, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",CENT 2018-0228,"December 12, 2018"
f42,"CACTUS CANYON QUARRIES, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",CENT 2018-0243,"December 12, 2018"
f43,MARIO SINACOLA & SONS EXCAVATING INC. AND ITS SUCCESSORS,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",CENT 2022-0028-DM,"April 20, 2021"
f44,"APPALACHIAN RESOURCE WEST VIRGINIA, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2022-0301,"May 31, 2022"
f45,"KENAMERICAN RESOURCES, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",KENT 2013-0211,"December 14, 2018"
f46,"N.J. WILBANKS CONTRACTOR, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",SE 2012-275-M,"August 25, 2010"
f47,"HOPKINS HILL SAND & STONE, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",YORK 2019-0025,"December 18, 2019"
f48,"PANTHER CREEK MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2023-0337-D,"May 19, 2023"
f49,W.G. YATES & SON’S CONSTRUCTION COMPANY,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",SE 2023-0094-M,"December 6, 2022"
f50,ALCOA WORLD ALUMINA LLC,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",CENT 2015-0279-DM,"December 21, 2017"
f51,"BLUFF CITY MINERALS, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",LAKE 2019-0389,"December 22, 2020"
f52,"FREEPORT-MCMORAN BAGDAD, INC.","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEST 2018-0362-DM,"December 23, 2019"
f53,"POLAND SAND & GRAVEL, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",YORK 2017-0096,"December 28, 2018"
f54,"CONSOL PENNSYLVANIA COAL CO., LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",Penn 2019-0008,"August 29, 2019"
f55,"PEABODY GATEWAY NORTH MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",LAKE 2023-0139,"April 30, 2024"
f56,"CEMEX CONSTRUCTION MATERIALS FLORIDA, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",SE 2023-0007-DM,"June 13, 2022"
f57,SUPERIOR SILICA SANDS LLC,"Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",CENT 2019-0133,"January 23, 2020"
f58,"APPALACHIAN RESOURCE WEST VIRGINIA, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",WEVA 2022-0554,
f59,"PEABODY MIDWEST MINING, LLC","Federal Mine Safety and Health Review Commission, Office of Administrative Law Judges",LAKE 2016-0269,"January 26, 2018"
