report,source,archive_source,sha256,words
f01,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_10022018-PENN%202015-178%2C%20et%20al.htm,https://web.archive.org/web/20241024035255id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_10022018-PENN%202015-178%2C%20et%20al.htm,14adf27c437c6c00c6d65f18fe6944e9ffadd6a8cc38206dea9f19ccdbc5b955,7313
f02,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_10092024-CENT%202023-0287.htm,https://web.archive.org/web/20241029060104id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_10092024-CENT%202023-0287.htm,88f47f45f2572954055b8b5ffc725138e4dcc779be049b7fa21e0577004751d5,14303
f03,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_10112019-PENN%202018-169.htm,https://web.archive.org/web/20240618043942id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_10112019-PENN%202018-169.htm,2a7165d5cd05d9cbc93723a9603ec307cdb7f77c31ecaa9f6aa6120d0b06c6b2,38256
f04,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_10172018-LAKE%202018-177.htm,https://web.archive.org/web/20250114044832id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_10172018-LAKE%202018-177.htm,e4cc34f706bd44cb64d4a6d0fe69f1302fd0dbd78a831d67d95e5eb1e2622ebc,2732
f05,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_10192017-WEST%202017-135.htm,https://web.archive.org/web/20250309103711id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_10192017-WEST%202017-135.htm,8ceef4dc07b54071206c5c8a3db7a8f2f9bd1bf9538d5d2563bdbbb53ecae44d,11656
f06,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_10192018-PENN%202014-108%2C%20et%20al.htm,https://web.archive.org/web/20250114044822id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_10192018-PENN%202014-108%2C%20et%20al.htm,4e37cae9686527d1e8400cc0df9c4c13c7cfdeaa712f12b0378f9a65d620ae41,3151
f07,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_10202020-SE%202019-0075%2C%20et%20al_1.htm,https://web.archive.org/web/20201128030118id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_10202020-SE%202019-0075%2C%20et%20al_1.htm,92da72d2445036da65eb73ea75507f0b1124666816fd7ca3579aa08a122eb2b7,16242
f08,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_10212020-PENN%202019-0100.htm,https://web.archive.org/web/20201128024531id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_10212020-PENN%202019-0100.htm,ed28a9c70709a5b291b872aa1ebe13be69756b742941585665337efe9bae7561,10161
f09,https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_10252024-PENN%202024-0057.htm,https://web.archive.org/web/20241111052012id_/https://fmshrc.gov/sites/default/files/decisions/alj/ALJd_10252024-PENN%202024-0057.htm,a5063ff3d0c09885e1dd92c62bc0646597b1c27db91b9afa217f95afe97d0656,2829
f10,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_10312017-KENT%202018-4-D.htm,https://web.archive.org/web/20241030152134id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_10312017-KENT%202018-4-D.htm,21e5b69700e8916ba6453a587ce1d985420f9090c0aab4ed50bfc43160e35bfb,8256
f11,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1062020-WEVA%202018-48%20D.htm,https://web.archive.org/web/20240802070736id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1062020-WEVA%202018-48%20D.htm,b7a7ae288f498ba856c8b59b1d7993f76b71470e1b51b5167c66211ba46bd472,17003
f12,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1072022-%20WEST%202021-0183.htm,https://web.archive.org/web/20240714211558id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1072022-%20WEST%202021-0183.htm,0b32a5a35aebf47c4a6b92153d1b6c4ad33969d1228579f1304866206641d540,6296
f13,https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1102025-SE%202021-0152%2C%20et%20al.htm,https://web.archive.org/web/20250114030812id_/https://www.fmshrc.gov/sites/default/files/decisions/alj/ALJd_1102025-SE%202021-0152%2C%20et%20al.htm,cec32de6125dbae62aa240585c0abb4a20f067a008bdae7a70b7018e591ed06c,28205
