board_decision,alj_decision,facility,board_file,alj_file
DAB 2738,CR 4466,Crawford Healthcare and Rehabilitation,decisions/board-dab-2738.txt,decisions/alj-cr4466.txt
DAB 2789,CR 4706,Covington Manor Nursing Home,decisions/board-dab-2789.txt,decisions/alj-cr4706.txt
DAB 2792,CR 4659,Kindred Transitional Care and Rehab - Greenfield,decisions/board-dab-2792.txt,decisions/alj-cr4659.txt
DAB 2794,CR 4715,"Fireside Lodge Retirement Center, Inc.",decisions/board-dab-2794.txt,decisions/alj-cr4715.txt
DAB 2829,CR 4771,Heritage Plaza Nursing Center,decisions/board-dab-2829.txt,decisions/alj-cr4771.txt
DAB 2830,CR 4670,Avon Nursing Home,decisions/board-dab-2830.txt,decisions/alj-cr4670.txt
DAB 2849,CR 4293,Libertyville Manor Rehabilitation & Healthcare Cen,decisions/board-dab-2849.txt,decisions/alj-cr4293.txt
DAB 2850,CR 4769,Putnam Center,decisions/board-dab-2850.txt,decisions/alj-cr4769.txt
DAB 2853,CR 4861,Countryside Rehabilitation and Health Center,decisions/board-dab-2853.txt,decisions/alj-cr4861.txt
DAB 2858,CR 4785,"Good Shepherd Home for the Aged, Inc., d/b/a The G",decisions/board-dab-2858.txt,decisions/alj-cr4785.txt
DAB 2869,CR 4922,Franklin Care Center,decisions/board-dab-2869.txt,decisions/alj-cr4922.txt
DAB 2874,CR 4859,Maysville Nursing and Rehabilitation,decisions/board-dab-2874.txt,decisions/alj-cr4859.txt
DAB 2891,CR 4926,Rockcastle Health and Rehabilitation Center,decisions/board-dab-2891.txt,decisions/alj-cr4926.txt
DAB 2895,CR 4851,Madison County Nursing Home,decisions/board-dab-2895.txt,decisions/alj-cr4851.txt
DAB 2905,CR 4988,The Harborage,decisions/board-dab-2905.txt,decisions/alj-cr4988.txt
DAB 2913,CR 4865,Oak Ridge Center,decisions/board-dab-2913.txt,decisions/alj-cr4865.txt
DAB 2937,CR 4916,Golden Living Center – Trussville,decisions/board-dab-2937.txt,decisions/alj-cr4916.txt
DAB 2946,CR 4997,North Las Vegas Care Center,decisions/board-dab-2946.txt,decisions/alj-cr4997.txt
DAB 2947,CR 4998,Green Valley Healthcare and Rehabilitation Center,decisions/board-dab-2947.txt,decisions/alj-cr4998.txt
DAB 2953,CR 4842,Golden Living Center – Mountain View,decisions/board-dab-2953.txt,decisions/alj-cr4842.txt
DAB 2954,CR 4978,The Bridge at Rockwood,decisions/board-dab-2954.txt,decisions/alj-cr4978.txt
DAB 2991,CR 5374,Cahokia Nursing and Rehabilitation Center,decisions/board-dab-2991.txt,decisions/alj-cr5374.txt
DAB 3006,CR 4979,Emery County Care and Rehabilitation Center,decisions/board-dab-3006.txt,decisions/alj-cr4979.txt
DAB 3008,CR 5059,"38-40 Freneau Avenue Operating Company LLC, d/b/a Atrium Post Acute Care of Mata",decisions/board-dab-3008.txt,decisions/alj-cr5059.txt
DAB 3035,CR 5179,Heritage House of Marshall Health and Rehabilitation,decisions/board-dab-3035.txt,decisions/alj-cr5179.txt
DAB 3036,CR 5677,"Logan Healthcare Leasing, LLC d/b/a Logan Care and Rehabilitation",decisions/board-dab-3036.txt,decisions/alj-cr5677.txt
DAB 3040,CR 5060,Medford Care Center,decisions/board-dab-3040.txt,decisions/alj-cr5060.txt
DAB 3046,CR 5132,Donelson Place Care and Rehabilitation Center,decisions/board-dab-3046.txt,decisions/alj-cr5132.txt
DAB 3049,CR 5120,"Copperas Cove LTC Partners, Inc.",decisions/board-dab-3049.txt,decisions/alj-cr5120.txt
DAB 3052,CR 5232,Rehabilitation Center at Hollywood Hills,decisions/board-dab-3052.txt,decisions/alj-cr5232.txt
DAB 3094,CR 5091,Vibra Hospital of Charleston - TCU,decisions/board-dab-3094.txt,decisions/alj-cr5091.txt
DAB 3119,CR 5241,Consulate Healthcare of Jacksonville,decisions/board-dab-3119.txt,decisions/alj-cr5241.txt
DAB 3146,CR 5922,Lutheran Home,decisions/board-dab-3146.txt,decisions/alj-cr5922.txt
DAB 3147,CR 6427,Lakeland Health Care Center,decisions/board-dab-3147.txt,decisions/alj-cr6427.txt
DAB 3160,CR 5285,The Oaks,decisions/board-dab-3160.txt,decisions/alj-cr5285.txt
DAB 3163,CR 5296,Rehab at River's Edge,decisions/board-dab-3163.txt,decisions/alj-cr5296.txt
DAB 3185,CR 5854,Pennsylvania Nursing and Rehabilitation Center,decisions/board-dab-3185.txt,decisions/alj-cr5854.txt
DAB 3191,CR 5745,Sligo Creek Center,decisions/board-dab-3191.txt,decisions/alj-cr5745.txt
DAB 3192,CR 5169,Golden Living Center – Morgantown,decisions/board-dab-3192.txt,decisions/alj-cr5169.txt
DAB 3194,CR 5054,Lake Worth Nursing Home,decisions/board-dab-3194.txt,decisions/alj-cr5054.txt
DAB 3210,CR 5237,West Caldwell Care Center,decisions/board-dab-3210.txt,decisions/alj-cr5237.txt
DAB 3211,CR 5233,Generations at McKinley Place,decisions/board-dab-3211.txt,decisions/alj-cr5233.txt
DAB 3220,CR 5812,Potomac Falls Health & Rehab Center,decisions/board-dab-3220.txt,decisions/alj-cr5812.txt
DAB 3228,CR 5351,Benbrook Nursing and Rehabilitation Center,decisions/board-dab-3228.txt,decisions/alj-cr5351.txt
DAB 3231,CR 5159,"Heritage Manor - Carlinville, LLC",decisions/board-dab-3231.txt,decisions/alj-cr5159.txt
