nct,brief_title,study_start,prespecification_version,prespecification_version_date,current_version,publication_files
NCT02048007,Mortality Reduction After Oral Azithromycin: Morbidity Study,2014-11,4,2014-10-29,19,/input_artifacts/trials/NCT02048007/publications/PMC11815404.txt /input_artifacts/trials/NCT02048007/publications/PMC12362227.txt /input_artifacts/trials/NCT02048007/publications/PMC6258425.txt /input_artifacts/trials/NCT02048007/publications/PMC6592520.txt /input_artifacts/trials/NCT02048007/publications/PMC8462712.txt /input_artifacts/trials/NCT02048007/publications/PMC8719241.txt /input_artifacts/trials/NCT02048007/publications/PMC8819720.txt /input_artifacts/trials/NCT02048007/publications/PMC8861117.txt /input_artifacts/trials/NCT02048007/publications/PMC9399865.txt
NCT02391337,Rate Control Therapy Evaluation in Permanent Atrial Fibrillation (RATE-AF),2016-12-20,1,2016-05-25,7,/input_artifacts/trials/NCT02391337/publications/PMC11271403.txt /input_artifacts/trials/NCT02391337/publications/PMC12015011.txt /input_artifacts/trials/NCT02391337/publications/PMC12751528.txt /input_artifacts/trials/NCT02391337/publications/PMC5588987.txt
NCT02409680,Aspirin Supplementation for Pregnancy Indicated Risk Reduction In Nulliparas (ASPIRIN),2016-03-23,2,2016-03-23,10,/input_artifacts/trials/NCT02409680/publications/PMC13150641.txt /input_artifacts/trials/NCT02409680/publications/PMC5415791.txt /input_artifacts/trials/NCT02409680/publications/PMC9993805.txt
NCT02429180,Rehabilitation Training After Stroke,2015-07-31,1,2015-05-27,4,/input_artifacts/trials/NCT02429180/publications/PMC12834544.txt /input_artifacts/trials/NCT02429180/publications/PMC5073546.txt /input_artifacts/trials/NCT02429180/publications/PMC5829775.txt /input_artifacts/trials/NCT02429180/publications/PMC6708169.txt
NCT02584283,Dual Hypothermic Oxygenated Perfusion of DCD Liver Grafts in Preventing Biliary Complications After Transplantation,2016-01,0,2015-10-20,7,/input_artifacts/trials/NCT02584283/publications/PMC11745596.txt /input_artifacts/trials/NCT02584283/publications/PMC12513034.txt /input_artifacts/trials/NCT02584283/publications/PMC6416838.txt /input_artifacts/trials/NCT02584283/publications/PMC6701560.txt
NCT02747927,"Efficacy, Safety and Immunogenicity of Takeda's Tetravalent Dengue Vaccine (TDV) in Healthy Children",2016-04-26,0,2016-04-19,24,/input_artifacts/trials/NCT02747927/publications/PMC10077010.txt /input_artifacts/trials/NCT02747927/publications/PMC11646590.txt /input_artifacts/trials/NCT02747927/publications/PMC11797386.txt
NCT02944682,Household Air Pollution and Health: A Multi-country LPG Intervention Trial,2017-09-01,4,2017-06-14,27,/input_artifacts/trials/NCT02944682/publications/PMC11027158.txt /input_artifacts/trials/NCT02944682/publications/PMC11079463.txt /input_artifacts/trials/NCT02944682/publications/PMC11097839.txt /input_artifacts/trials/NCT02944682/publications/PMC11757157.txt /input_artifacts/trials/NCT02944682/publications/PMC12083286.txt /input_artifacts/trials/NCT02944682/publications/PMC12755731.txt /input_artifacts/trials/NCT02944682/publications/PMC13132538.txt /input_artifacts/trials/NCT02944682/publications/PMC13166104.txt
NCT03114917,Cognitive AppRoaches to coMbatting Suicidality,2017-05-12,0,2017-04-10,5,/input_artifacts/trials/NCT03114917/publications/PMC10668454.txt /input_artifacts/trials/NCT03114917/publications/PMC12628620.txt /input_artifacts/trials/NCT03114917/publications/PMC7298803.txt
NCT03148457,"Early Versus Late Initiation of Direct Oral Anticoagulants in Post-ischaemic Stroke Patients With Atrial fibrillatioN (ELAN): an International, Multicentre, Randomised-controlled, Two-arm, Assessor-blinded Trial",2017-11-06,5,2017-10-25,93,/input_artifacts/trials/NCT03148457/publications/PMC11775740.txt /input_artifacts/trials/NCT03148457/publications/PMC12339485.txt /input_artifacts/trials/NCT03148457/publications/PMC12866218.txt
NCT03198585,Empagliflozin in Heart Failure Patients With Reduced Ejection Fraction,2017-06-29,1,2017-06-29,4,/input_artifacts/trials/NCT03198585/publications/PMC13235861.txt /input_artifacts/trials/NCT03198585/publications/PMC6588901.txt /input_artifacts/trials/NCT03198585/publications/PMC8882292.txt
