report,rule_subject,document_number,responsible_bureau,publication_year
a01,Modernization of the Nation's Alerting Systems; Protecting the Nation's Communications Systems From Cybersecurity Threats,2026-15601,Public Safety and Homeland Security Bureau,2026
a02,Upper C-Band (3.98-4.2 GHz); Expanding Flexible Use of the 3.7 to 4.2 GHz Band,2026-15598,Space Bureau,2026
a03,"Review of Submarine Cable Landing License Rules and Procedures To Assess Evolving National Security, Law Enforcement, Foreign Policy, and Trade Policy Risks",2026-15123,Media Bureau,2026
a04,Review of the Commission's Assessment and Collection of Regulatory Fees for Fiscal Year 2025,2026-14673,Space Bureau,2026
a05,Facilitating Implementation of Next Generation 911 Services (NG911); Improving 911 Reliability,2026-13998,Public Safety and Homeland Security Bureau,2026
a06,Resilient Networks; Concerning Disruptions to Communications,2026-13155,Public Safety and Homeland Security Bureau,2026
a07,"Establishing the Digital Opportunity Data Collection; Modernizing the FCC Form 477 Data Program; Delete, Delete, Delete",2026-12766,Space Bureau,2026
a08,Promoting Fair and Open Competitive Bidding in the E-Rate Program; Schools and Libraries Universal Service Support Mechanism,2026-10011,Wireline Competition Bureau,2026
a09,Broadcast Station Rule Updates,2026-10008,Media Bureau,2026
a10,"Promoting the Integrity and Security of Telecommunications Certification Bodies, Measurement Facilities, and the Equipment Authorization Program",2026-09822,Office of Engineering and Technology,2026
a11,Modernizing Spectrum Sharing for Satellite Broadband,2026-09565,Space Bureau,2026
a12,Accelerating Wireline Broadband Deployment by Removing Barriers to Infrastructure Investment,2026-09083,Wireline Competition Bureau,2026
a13,Reducing Barriers to Network Improvements and Service Changes,2026-07622,Public Safety and Homeland Security Bureau,2026
a14,Protecting Our Communications Networks by Promoting Transparency Regarding Foreign Adversary Control,2026-06992,Public Safety and Homeland Security Bureau,2026
a15,"Review of Foreign Ownership Policies for Broadcast, Common Carrier and Aeronautical Radio Licensees",2026-06866,Media Bureau,2026
a16,Modernizing Suspension and Debarment Rules,2026-06864,Wireless Telecommunications Bureau,2026
a17,Review of the Commission's Rules Governing the 896-901/935-940 MHz Band,2026-06239,Wireline Competition Bureau,2026
a18,Unlicensed Use of the 6 GHz Band; Expanding Flexible Use in Mid-Band Spectrum Between 3.7 and 24 GHz,2026-03744,Wireless Telecommunications Bureau,2026
a19,Numbering Policies for Modern Communications,2026-03066,Wireline Competition Bureau,2026
a20,Achieving 100% Wireless Handset Model Hearing Aid Compatibility,2026-01441,Wireless Telecommunications Bureau,2026
a21,"Advancement of the Low Power Television, TV Translator and Class A Television Service",2026-01279,Media Bureau,2026
a22,Addressing the Homework Gap Through the E-Rate Program; Partial Withdrawal,2026-01053,Wireline Competition Bureau,2026
a23,"Implementation of the Final Acts of the World Radiocommunication Conference (Geneva, 2015) (WRC-15), Other Allocation Issues, and Related Rule Updates",2026-00587,Space Bureau,2026
a24,"Connect America Fund, Alaska Connect Fund, Connect America Fund-Alaska Plan et al",2025-22437,Wireline Competition Bureau,2025
a25,Wireless Emergency Alerts and the Emergency Alert System,2025-22434,Public Safety and Homeland Security Bureau,2025
a26,Incarcerated People's Communication Services; Implementation of the Martha Wright-Reed Act; Rates for Interstate Inmate Calling Services,2025-22125,Public Safety and Homeland Security Bureau,2025
a27,Protecting Against National Security Threats to the Communications Supply Chain Through the Equipment Authorization Program,2025-21001,Office of Engineering and Technology,2025
a28,Implementation of the National Suicide Hotline Act of 2018,2025-17895,Public Safety and Homeland Security Bureau,2025
a29,Expediting Initial Processing of Satellite and Earth Station Applications; Space Innovation,2025-16375,Space Bureau,2025
a30,Call Authentication Trust Anchor,2025-15809,Media Bureau,2025
a31,Competitive Bidding Rules for Auction of AWS-3 Licenses,2025-14725,Media Bureau,2025
