unit_id,grade_band,subject_cluster,source_slug,source_file
K2-STEM-01,K-2,STEM,pg71462-nature-readers-sea-side-way-side-no-1,/input_artifacts/sources/pg71462-nature-readers-sea-side-way-side-no-1.md
K2-STEM-02,K-2,STEM,pg71843-nature-readers-seaside-wayside-no-2,/input_artifacts/sources/pg71843-nature-readers-seaside-wayside-no-2.md
K2-STEM-03,K-2,STEM,pg61295-little-wanderers,/input_artifacts/sources/pg61295-little-wanderers.md
K2-STEM-04,K-2,STEM,pg72776-flowers-their-friends,/input_artifacts/sources/pg72776-flowers-their-friends.md
K2-STEM-05,K-2,STEM,pg58421-child-s-book-nature,/input_artifacts/sources/pg58421-child-s-book-nature.md
K2-HUMANITIES-01,K-2,HUMANITIES,pg14640-mcguffey-s-first-eclectic-reader-revised-edition,/input_artifacts/sources/pg14640-mcguffey-s-first-eclectic-reader-revised-edition.md
K2-HUMANITIES-02,K-2,HUMANITIES,pg14668-mcguffey-s-second-eclectic-reader,/input_artifacts/sources/pg14668-mcguffey-s-second-eclectic-reader.md
K2-HUMANITIES-03,K-2,HUMANITIES,pg18442-fifty-famous-stories-retold,/input_artifacts/sources/pg18442-fifty-famous-stories-retold.md
K2-HUMANITIES-04,K-2,HUMANITIES,pg10070-stories-great-americans-for-little-americans,/input_artifacts/sources/pg10070-stories-great-americans-for-little-americans.md
K2-HUMANITIES-05,K-2,HUMANITIES,pg32628-child-s-book-american-biography,/input_artifacts/sources/pg32628-child-s-book-american-biography.md
K2-ARTS-01,K-2,ARTS,pg25608-child-s-garden-verses,/input_artifacts/sources/pg25608-child-s-garden-verses.md
K2-ARTS-02,K-2,ARTS,pg22014-peter-patter-book-nursery-rhymes,/input_artifacts/sources/pg22014-peter-patter-book-nursery-rhymes.md
K2-ARTS-03,K-2,ARTS,pg34763-cat-fiddle-book,/input_artifacts/sources/pg34763-cat-fiddle-book.md
K2-ARTS-04,K-2,ARTS,pg34601-gammer-gurton-s-garland-nursery-parnassus,/input_artifacts/sources/pg34601-gammer-gurton-s-garland-nursery-parnassus.md
K2-ARTS-05,K-2,ARTS,pg25462-little-folks-handy-book,/input_artifacts/sources/pg25462-little-folks-handy-book.md
G35-STEM-01,3-5,STEM,pg72044-nature-readers-sea-side-way-side-no-3,/input_artifacts/sources/pg72044-nature-readers-sea-side-way-side-no-3.md
G35-STEM-02,3-5,STEM,pg18790-insect-folk,/input_artifacts/sources/pg18790-insect-folk.md
G35-STEM-03,3-5,STEM,pg17367-first-book-in-physiology-hygiene,/input_artifacts/sources/pg17367-first-book-in-physiology-hygiene.md
G35-STEM-04,3-5,STEM,pg44186-trees-every-child-should-know-easy-tree-studies,/input_artifacts/sources/pg44186-trees-every-child-should-know-easy-tree-studies.md
G35-STEM-05,3-5,STEM,pg38233-birds-every-child-should-know,/input_artifacts/sources/pg38233-birds-every-child-should-know.md
G35-HUMANITIES-01,3-5,HUMANITIES,pg14766-mcguffey-s-third-eclectic-reader,/input_artifacts/sources/pg14766-mcguffey-s-third-eclectic-reader.md
G35-HUMANITIES-02,3-5,HUMANITIES,pg14880-mcguffey-s-fourth-eclectic-reader,/input_artifacts/sources/pg14880-mcguffey-s-fourth-eclectic-reader.md
G35-HUMANITIES-03,3-5,HUMANITIES,pg66070-story-greece-told-to-boys-girls,/input_artifacts/sources/pg66070-story-greece-told-to-boys-girls.md
G35-HUMANITIES-04,3-5,HUMANITIES,pg2484-boys-girls-plutarch,/input_artifacts/sources/pg2484-boys-girls-plutarch.md
