report,registry_id,source_url,format
t01,NCT00024167,https://clinicaltrials.gov/study/NCT00024167,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t02,NCT00050089,https://clinicaltrials.gov/study/NCT00050089,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t03,NCT00125658,https://clinicaltrials.gov/study/NCT00125658,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t04,NCT00144339,https://clinicaltrials.gov/study/NCT00144339,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t05,NCT00291499,https://clinicaltrials.gov/study/NCT00291499,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t06,NCT00393718,https://clinicaltrials.gov/study/NCT00393718,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t07,NCT00515723,https://clinicaltrials.gov/study/NCT00515723,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t08,NCT00561470,https://clinicaltrials.gov/study/NCT00561470,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t09,NCT00706823,https://clinicaltrials.gov/study/NCT00706823,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t10,NCT00733330,https://clinicaltrials.gov/study/NCT00733330,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t11,NCT00740870,https://clinicaltrials.gov/study/NCT00740870,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t12,NCT00755222,https://clinicaltrials.gov/study/NCT00755222,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t13,NCT00814801,https://clinicaltrials.gov/study/NCT00814801,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t14,NCT00964366,https://clinicaltrials.gov/study/NCT00964366,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t15,NCT01063751,https://clinicaltrials.gov/study/NCT01063751,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t16,NCT01086475,https://clinicaltrials.gov/study/NCT01086475,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t17,NCT01095003,https://clinicaltrials.gov/study/NCT01095003,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t18,NCT01164956,https://clinicaltrials.gov/study/NCT01164956,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t19,NCT01178294,https://clinicaltrials.gov/study/NCT01178294,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t20,NCT01185561,https://clinicaltrials.gov/study/NCT01185561,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t21,NCT01275196,https://clinicaltrials.gov/study/NCT01275196,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t22,NCT01408030,https://clinicaltrials.gov/study/NCT01408030,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t23,NCT01472757,https://clinicaltrials.gov/study/NCT01472757,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t24,NCT01507181,https://clinicaltrials.gov/study/NCT01507181,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t25,NCT01601132,https://clinicaltrials.gov/study/NCT01601132,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t26,NCT01607957,https://clinicaltrials.gov/study/NCT01607957,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t27,NCT01644331,https://clinicaltrials.gov/study/NCT01644331,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t28,NCT01718483,https://clinicaltrials.gov/study/NCT01718483,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t29,NCT01730534,https://clinicaltrials.gov/study/NCT01730534,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t30,NCT01750281,https://clinicaltrials.gov/study/NCT01750281,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t31,NCT01781078,https://clinicaltrials.gov/study/NCT01781078,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t32,NCT01981954,https://clinicaltrials.gov/study/NCT01981954,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t33,NCT02049437,https://clinicaltrials.gov/study/NCT02049437,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t34,NCT02060058,https://clinicaltrials.gov/study/NCT02060058,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t35,NCT02105467,https://clinicaltrials.gov/study/NCT02105467,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t36,NCT02280239,https://clinicaltrials.gov/study/NCT02280239,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t37,NCT02334267,https://clinicaltrials.gov/study/NCT02334267,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t38,NCT02369536,https://clinicaltrials.gov/study/NCT02369536,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t39,NCT02449902,https://clinicaltrials.gov/study/NCT02449902,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t40,NCT02537431,https://clinicaltrials.gov/study/NCT02537431,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t41,NCT02545049,https://clinicaltrials.gov/study/NCT02545049,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t42,NCT02601170,https://clinicaltrials.gov/study/NCT02601170,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t43,NCT02713230,https://clinicaltrials.gov/study/NCT02713230,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t44,NCT02831933,https://clinicaltrials.gov/study/NCT02831933,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t45,NCT02942407,https://clinicaltrials.gov/study/NCT02942407,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t46,NCT03020589,https://clinicaltrials.gov/study/NCT03020589,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t47,NCT03226769,https://clinicaltrials.gov/study/NCT03226769,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t48,NCT03282916,https://clinicaltrials.gov/study/NCT03282916,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t49,NCT03319849,https://clinicaltrials.gov/study/NCT03319849,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t50,NCT03364270,https://clinicaltrials.gov/study/NCT03364270,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t51,NCT03400800,https://clinicaltrials.gov/study/NCT03400800,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t52,NCT03419897,https://clinicaltrials.gov/study/NCT03419897,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t53,NCT03420222,https://clinicaltrials.gov/study/NCT03420222,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t54,NCT03496805,https://clinicaltrials.gov/study/NCT03496805,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t55,NCT03503513,https://clinicaltrials.gov/study/NCT03503513,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t56,NCT03661528,https://clinicaltrials.gov/study/NCT03661528,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
t57,NCT03687372,https://clinicaltrials.gov/study/NCT03687372,"ClinicalTrials.gov posted results record (API v2), rendered as plain text"
