report,sponsor,phase,condition,registry_id,completion_date
t01,M.D. Anderson Cancer Center,PHASE3,Prostate Cancer,NCT00024167,
t02,OPTIMA (US Department of Veterans Affairs),NA,AIDS,NCT00050089,2007-12
t03,VA Office of Research and Development,NA,Cerebrovascular Accident,NCT00125658,2011-09
t04,Boehringer Ingelheim,PHASE3,"Pulmonary Disease, Chronic Obstructive",NCT00144339,
t05,IBSA Institut Biochimique SA,PHASE3,Osteoarthrosis,NCT00291499,2010-08
t06,Novo Nordisk A/S,PHASE3,Diabetes,NCT00393718,2008-05
t07,Glulipid (Washington University School of Medicine),NA,Schizophrenia,NCT00515723,2008-12
t08,VELOUR (Sanofi),PHASE3,Colorectal Neoplasms,NCT00561470,2012-06
t09,"I-gel (The University of Texas Health Science Center, Houston)",NA,Endotracheal Intubation,NCT00706823,2008-08
t10,DePuy International,PHASE4,Osteoarthritis,NCT00733330,2010-12
t11,Medtronic Cardiovascular,NA,Congenital Heart Defects,NCT00740870,2020-08-21
t12,"Endo USA Inc., a Keenova Therapeutics Company",PHASE2,Peyronie's Disease,NCT00755222,2009-12
t13,Janssen Pharmaceutical K.K.,PHASE3,Alzheimer's Disease,NCT00814801,2008-09
t14,"Stiefel, a GSK Company",PHASE4,Acne Vulgaris,NCT00964366,2009-08
t15,Stryker Orthopaedics,NA,"Arthroplasty, Replacement, Hip",NCT01063751,2023-12-30
t16,Indiana University,PHASE3,Autistic Disorder,NCT01086475,2014-01
t17,Pierre Fabre Medicament,PHASE3,Breast Cancer,NCT01095003,2015-10
t18,Dana-Farber Cancer Institute,PHASE1,Cancer,NCT01164956,2013-03
t19,Baxalta now part of Shire,"PHASE2, PHASE3",Acquired Hemophilia A,NCT01178294,2013-10-09
t20,SWEEP (Loyola University),NA,Depression,NCT01185561,2009-11
t21,Novartis Pharmaceuticals,PHASE3,Chronic Myeloid Leukemia,NCT01275196,2014-10
t22,NOSE (James Gossage),PHASE2,"Telangiectasia, Hereditary Hemorrhagic",NCT01408030,2014-09
t23,Vectura Limited,"PHASE2, PHASE3",Asthma,NCT01472757,2013-05
t24,James Murrough,PHASE4,Suicidal Ideation,NCT01507181,2014-09
t25,Takeda,PHASE4,Healthy,NCT01601132,2012-07
t26,"RECOURSE (Taiho Oncology, Inc.)",PHASE3,Colorectal Cancer,NCT01607957,2016-05-23
t27,TACTICS-HF (Duke University),PHASE3,Heart Failure,NCT01644331,2016-02
t28,Shire,PHASE3,Binge Eating Disorder,NCT01718483,2013-09-25
t29,DECLARE-TIMI58 (AstraZeneca),PHASE3,"Diabetes Mellitus, Non-Insulin-Dependent",NCT01730534,2018-09-11
t30,SELECT-2 (AstraZeneca),PHASE2,Locally Advanced or Metastatic Non Small Cell Lung Cancer Stage IIIb - IV,NCT01750281,2022-10-31
t31,SAMURAI (Boston Scientific Corporation),NA,Bradycardia,NCT01781078,2019-09-11
t32,Astellas Pharma Europe B.V.,PHASE3,Neurogenic Detrusor Overactivity,NCT01981954,2015-12-18
t33,IL-6 (Case Western Reserve University),"PHASE1, PHASE2",HIV Infections,NCT02049437,2017-09-11
t34,BOLERO-CB (Kaohsiung Medical University Chung-Ho Memorial Hospital),PHASE3,"Hepatitis C, Chronic",NCT02060058,2016-09
t35,Merck Sharp & Dohme LLC,PHASE3,Chronic Hepatitis C Virus,NCT02105467,2015-09-06
t36,SEA-ICU (University of British Columbia),PHASE4,Critical Illness,NCT02280239,2016-02
t37,ABChD (Fresenius Medical Care North America),NA,End Stage Renal Disease,NCT02334267,2015-09
t38,NUTRAFAST (Neuromed IRCCS),NA,Non-alcoholic Fatty Liver Disease,NCT02369536,2016-09-15
t39,TherapeuticsMD,PHASE2,Menopause,NCT02449902,2013-09
t40,"Kyowa Kirin, Inc.",PHASE3,X-linked Hypophosphatemia,NCT02537431,2018-12-13
t41,FIGARO-DKD (Bayer),PHASE3,Diabetic Kidney Disease,NCT02545049,2021-02-02
t42,Tri-Service General Hospital (TSGH),NA,Hemophilia,NCT02601170,2016-07
t43,"Pacira Pharmaceuticals, Inc",PHASE3,Pain,NCT02713230,2017-07-07
t44,"ENSIGN (Eric Bernicker, MD)",PHASE2,Lung Squamous Cell Carcinoma Stage IV,NCT02831933,2020-11-05
t45,"RENAL-AF (Christopher Granger, MD)",PHASE4,Atrial Fibrillation,NCT02942407,2019-08-12
t46,"TAC3A5 (University of North Carolina, Chapel Hill)",PHASE4,Renal Transplant,NCT03020589,2022-06-28
t47,Allergan,NA,Meibomian Glands,NCT03226769,2017-12-12
t48,Columbia University,PHASE2,Alzheimer Disease,NCT03282916,2024-09-05
t49,Neurotech Pharmaceuticals,PHASE3,Macular Telangiectasia Type 2,NCT03319849,2022-09-23
t50,K5-C200 (Balaji Tamarappoo),PHASE2,Carotid Arteries,NCT03364270,2020-05-31
t51,ORION-11 (The Medicines Company),PHASE3,ASCVD,NCT03400800,2019-08-27
t52,BeiGene,PHASE2,Hepatocellular Carcinoma (HCC),NCT03419897,2022-07-06
t53,"Otsuka Pharmaceutical Development & Commercialization, Inc.",PHASE2,Intermittent Explosive Disorder,NCT03420222,2018-12-28
t54,Wake Forest University Health Sciences,PHASE2,Recurrent Prostate Cancer,NCT03496805,2025-08-14
