iso3,common_name,federal_structure,jurisdiction_iso,jurisdiction_name,ratification_date,ratification_instrument
AUS,Australia,federal,AUS,Australia,2011-12-21,MLC 2006 ratification registered by ILO
BHS,Bahamas,unitary,BHS,Bahamas,2008-02-11,MLC 2006 ratification registered by ILO
CAN,Canada,federal,CAN,Canada,2010-06-15,MLC 2006 ratification registered by ILO
IND,India,federal,IND,India,2015-10-09,MLC 2006 ratification registered by ILO
KEN,Kenya,unitary,KEN,Kenya,2014-07-31,MLC 2006 ratification registered by ILO
LBR,Liberia,unitary,LBR,Liberia,2006-06-07,MLC 2006 ratification registered by ILO
MLT,Malta,unitary,MLT,Malta,2013-01-22,MLC 2006 ratification registered by ILO
MHL,Marshall Islands,unitary,MHL,Marshall Islands,2007-09-25,MLC 2006 ratification registered by ILO
PHL,Philippines,unitary,PHL,Philippines,2012-08-20,MLC 2006 ratification registered by ILO
SGP,Singapore,unitary,SGP,Singapore,2011-06-15,MLC 2006 ratification registered by ILO
ZAF,South Africa,mixed,ZAF,South Africa,2013-06-20,MLC 2006 ratification registered by ILO
GBR,United Kingdom,unitary,GBR,United Kingdom,2013-08-07,MLC 2006 ratification registered by ILO
