disaster_name,industry_domain,slug,source_file,real_date
Courrières mine disaster,mining,courrieres-mine-disaster,corpus/courrieres-mine-disaster.md,1906-03-10
Monongah mining disaster,mining,monongah-mining-disaster,corpus/monongah-mining-disaster.md,1907-12-06
Senghenydd colliery disaster,mining,senghenydd-colliery-disaster,corpus/senghenydd-colliery-disaster.md,1913-10-14
Benxihu Colliery disaster,mining,benxihu-colliery-disaster,corpus/benxihu-colliery-disaster.md,1942-04-26
Sunshine Mine disaster,mining,sunshine-mine-disaster,corpus/sunshine-mine-disaster.md,1972-05-02
Aberfan disaster,mining,aberfan-disaster,corpus/aberfan-disaster.md,1966-10-21
Soma mine disaster,mining,soma-mine-disaster,corpus/soma-mine-disaster.md,2014-05-13
Upper Big Branch Mine disaster,mining,upper-big-branch-mine-disaster,corpus/upper-big-branch-mine-disaster.md,2010-04-05
Sago Mine disaster,mining,sago-mine-disaster,corpus/sago-mine-disaster.md,2006-01-02
Pike River Mine disaster,mining,pike-river-mine-disaster,corpus/pike-river-mine-disaster.md,2010-11-19
Bois du Cazier,mining,bois-du-cazier,corpus/bois-du-cazier.md,1956-08-08
Mount Kembla mining disaster,mining,mount-kembla-mining-disaster,corpus/mount-kembla-mining-disaster.md,1902-07-31
Oaks explosion,mining,oaks-explosion,corpus/oaks-explosion.md,1866-12-12
Gresford disaster,mining,gresford-disaster,corpus/gresford-disaster.md,1934-09-22
Coalbrook mining disaster,mining,coalbrook-mining-disaster,corpus/coalbrook-mining-disaster.md,1960-01-21
Sinking of the Titanic,maritime,sinking-of-the-titanic,corpus/sinking-of-the-titanic.md,1912-04-15
MV Doña Paz,maritime,mv-dona-paz,corpus/mv-dona-paz.md,1987-12-20
MS Estonia,maritime,ms-estonia,corpus/ms-estonia.md,1994-09-28
Exxon Valdez oil spill,maritime,exxon-valdez-oil-spill,corpus/exxon-valdez-oil-spill.md,1989-03-24
Deepwater Horizon oil spill,maritime,deepwater-horizon-oil-spill,corpus/deepwater-horizon-oil-spill.md,2010-04-20
Piper Alpha,maritime,piper-alpha,corpus/piper-alpha.md,1988-07-06
Herald of Free Enterprise,maritime,herald-of-free-enterprise,corpus/herald-of-free-enterprise.md,1987-03-06
SS Sultana,maritime,ss-sultana,corpus/ss-sultana.md,1865-04-27
Sinking of MV Sewol,maritime,sinking-of-mv-sewol,corpus/sinking-of-mv-sewol.md,2014-04-16
Costa Concordia disaster,maritime,costa-concordia-disaster,corpus/costa-concordia-disaster.md,2012-01-13
Alexander L. Kielland (platform),maritime,alexander-l-kielland-platform,corpus/alexander-l-kielland-platform.md,1980-03-27
Ocean Ranger,maritime,ocean-ranger,corpus/ocean-ranger.md,1982-02-15
Torrey Canyon oil spill,maritime,torrey-canyon-oil-spill,corpus/torrey-canyon-oil-spill.md,1967-03-18
Amoco Cadiz oil spill,maritime,amoco-cadiz-oil-spill,corpus/amoco-cadiz-oil-spill.md,1978-03-16
Prestige oil spill,maritime,prestige-oil-spill,corpus/prestige-oil-spill.md,2002-11-13
Tenerife airport disaster,aviation,tenerife-airport-disaster,corpus/tenerife-airport-disaster.md,1977-03-27
Space Shuttle Challenger disaster,aviation,space-shuttle-challenger-disaster,corpus/space-shuttle-challenger-disaster.md,1986-01-28
Space Shuttle Columbia disaster,aviation,space-shuttle-columbia-disaster,corpus/space-shuttle-columbia-disaster.md,2003-02-01
American Airlines Flight 191,aviation,american-airlines-flight-191,corpus/american-airlines-flight-191.md,1979-05-25
Japan Airlines Flight 123,aviation,japan-airlines-flight-123,corpus/japan-airlines-flight-123.md,1985-08-12
Air France Flight 447,aviation,air-france-flight-447,corpus/air-france-flight-447.md,2009-06-01
United Airlines Flight 232,aviation,united-airlines-flight-232,corpus/united-airlines-flight-232.md,1989-07-19
ValuJet Flight 592,aviation,valujet-flight-592,corpus/valujet-flight-592.md,1996-05-11
TWA Flight 800,aviation,twa-flight-800,corpus/twa-flight-800.md,1996-07-17
Turkish Airlines Flight 981,aviation,turkish-airlines-flight-981,corpus/turkish-airlines-flight-981.md,1974-03-03
Aloha Airlines Flight 243,aviation,aloha-airlines-flight-243,corpus/aloha-airlines-flight-243.md,1988-04-28
Air France Flight 4590,aviation,air-france-flight-4590,corpus/air-france-flight-4590.md,2000-07-25
Boeing 737 MAX groundings,aviation,boeing-737-max-groundings,corpus/boeing-737-max-groundings.md,2019-03-13
Swissair Flight 111,aviation,swissair-flight-111,corpus/swissair-flight-111.md,1998-09-02
British Airtours Flight 28M,aviation,british-airtours-flight-28m,corpus/british-airtours-flight-28m.md,1985-08-22
Tacoma Narrows Bridge (1940),structural,tacoma-narrows-bridge-1940,corpus/tacoma-narrows-bridge-1940.md,1940-11-07
Hyatt Regency walkway collapse,structural,hyatt-regency-walkway-collapse,corpus/hyatt-regency-walkway-collapse.md,1981-07-17
I-35W Mississippi River bridge collapse,structural,i-35w-mississippi-river-bridge-collapse,corpus/i-35w-mississippi-river-bridge-collapse.md,2007-08-01
2018 Genoa bridge collapse,structural,2018-genoa-bridge-collapse,corpus/2018-genoa-bridge-collapse.md,2018-08-14
Rana Plaza collapse,structural,rana-plaza-collapse,corpus/rana-plaza-collapse.md,2013-04-24
Grenfell Tower fire,structural,grenfell-tower-fire,corpus/grenfell-tower-fire.md,2017-06-14
Champlain Towers South collapse,structural,champlain-towers-south-collapse,corpus/champlain-towers-south-collapse.md,2021-06-24
Sampoong Department Store collapse,structural,sampoong-department-store-collapse,corpus/sampoong-department-store-collapse.md,1995-06-29
Banqiao Dam,structural,banqiao-dam,corpus/banqiao-dam.md,1975-08-08
St. Francis Dam,structural,st-francis-dam,corpus/st-francis-dam.md,1928-03-12
Vajont Dam,structural,vajont-dam,corpus/vajont-dam.md,1963-10-09
Johnstown Flood,structural,johnstown-flood,corpus/johnstown-flood.md,1889-05-31
Quebec Bridge,structural,quebec-bridge,corpus/quebec-bridge.md,1907-08-29
Silver Bridge,structural,silver-bridge,corpus/silver-bridge.md,1967-12-15
Teton Dam,structural,teton-dam,corpus/teton-dam.md,1976-06-05
Bhopal disaster,chemical,bhopal-disaster,corpus/bhopal-disaster.md,1984-12-03
Seveso disaster,chemical,seveso-disaster,corpus/seveso-disaster.md,1976-07-10
Texas City refinery explosion,chemical,texas-city-refinery-explosion,corpus/texas-city-refinery-explosion.md,2005-03-23
Texas City disaster,chemical,texas-city-disaster-1947,corpus/texas-city-disaster-1947.md,1947-04-16
Flixborough disaster,chemical,flixborough-disaster,corpus/flixborough-disaster.md,1974-06-01
Buncefield fire,chemical,buncefield-fire,corpus/buncefield-fire.md,2005-12-11
West Fertilizer Company explosion,chemical,west-fertilizer-company-explosion,corpus/west-fertilizer-company-explosion.md,2013-04-17
2015 Tianjin explosions,chemical,2015-tianjin-explosions,corpus/2015-tianjin-explosions.md,2015-08-12
2020 Beirut explosion,chemical,2020-beirut-explosion,corpus/2020-beirut-explosion.md,2020-08-04
Oppau explosion,chemical,oppau-explosion,corpus/oppau-explosion.md,1921-09-21
PEPCON disaster,chemical,pepcon-disaster,corpus/pepcon-disaster.md,1988-05-04
Halifax Explosion,chemical,halifax-explosion,corpus/halifax-explosion.md,1917-12-06
AZF (factory),chemical,azf-factory,corpus/azf-factory.md,2001-09-21
2005 Jilin chemical plant explosions,chemical,2005-jilin-chemical-plant-explosions,corpus/2005-jilin-chemical-plant-explosions.md,2005-11-13
Chernobyl disaster,chemical,chernobyl-disaster,corpus/chernobyl-disaster.md,1986-04-26
Eschede train disaster,rail,eschede-train-disaster,corpus/eschede-train-disaster.md,1998-06-03
Ladbroke Grove rail crash,rail,ladbroke-grove-rail-crash,corpus/ladbroke-grove-rail-crash.md,1999-10-05
Hatfield rail crash,rail,hatfield-rail-crash,corpus/hatfield-rail-crash.md,2000-10-17
Clapham Junction rail crash,rail,clapham-junction-rail-crash,corpus/clapham-junction-rail-crash.md,1988-12-12
2013 Santiago de Compostela derailment,rail,2013-santiago-de-compostela-derailment,corpus/2013-santiago-de-compostela-derailment.md,2013-07-24
Amagasaki derailment,rail,amagasaki-derailment,corpus/amagasaki-derailment.md,2005-04-25
Granville rail disaster,rail,granville-rail-disaster,corpus/granville-rail-disaster.md,1867-05-27
Quintinshill rail disaster,rail,quintinshill-rail-disaster,corpus/quintinshill-rail-disaster.md,1915-05-22
Harrow and Wealdstone rail crash,rail,harrow-and-wealdstone-rail-crash,corpus/harrow-and-wealdstone-rail-crash.md,1952-10-08
Gaisal train disaster,rail,gaisal-train-disaster,corpus/gaisal-train-disaster.md,1999-08-02
Balvano train disaster,rail,balvano-train-disaster,corpus/balvano-train-disaster.md,1944-03-03
Chatsworth train collision,rail,chatsworth-train-collision,corpus/chatsworth-train-collision.md,2008-09-12
King's Cross fire,rail,kings-cross-fire,corpus/kings-cross-fire.md,1987-11-18
Meudon train accident,rail,meudon-train-accident,corpus/meudon-train-accident.md,1842-05-08
2023 Odisha train collision,rail,2023-odisha-train-collision,corpus/2023-odisha-train-collision.md,2023-06-02
Mount Mulligan mine disaster,mining,mount-mulligan-mine-disaster,corpus/mount-mulligan-mine-disaster.md,1921-09-19
Wilberg Mine disaster,mining,wilberg-mine-disaster,corpus/wilberg-mine-disaster.md,1984-12-19
Farmington mine disaster,mining,farmington-mine-disaster,corpus/farmington-mine-disaster.md,1968-11-20
Moura No. 2 Mine disaster,mining,moura-no-2-mine-disaster,corpus/moura-no-2-mine-disaster.md,1994-08-07
Samarco dam disaster,mining,samarco-dam-disaster,corpus/samarco-dam-disaster.md,2015-11-05
SS Andrea Doria,maritime,ss-andrea-doria,corpus/ss-andrea-doria.md,1956-07-25
PS General Slocum,maritime,ps-general-slocum,corpus/ps-general-slocum.md,1904-06-15
RMS Empress of Ireland,maritime,rms-empress-of-ireland,corpus/rms-empress-of-ireland.md,1914-05-29
MV Le Joola,maritime,mv-le-joola,corpus/mv-le-joola.md,2002-09-26
Al-Salam Boccaccio 98,maritime,al-salam-boccaccio-98,corpus/al-salam-boccaccio-98.md,2006-02-03
De Havilland Comet,aviation,de-havilland-comet,corpus/de-havilland-comet.md,1954-01-10
El Al Flight 1862,aviation,el-al-flight-1862,corpus/el-al-flight-1862.md,1992-10-04
Korean Air Flight 801,aviation,korean-air-flight-801,corpus/korean-air-flight-801.md,1997-08-06
Air Ontario Flight 1363,aviation,air-ontario-flight-1363,corpus/air-ontario-flight-1363.md,1989-03-10
China Airlines Flight 140,aviation,china-airlines-flight-140,corpus/china-airlines-flight-140.md,1994-04-26
Ronan Point,structural,ronan-point,corpus/ronan-point.md,1968-05-16
Willow Island disaster,structural,willow-island-disaster,corpus/willow-island-disaster.md,1978-04-27
L'Ambiance Plaza,structural,lambiance-plaza,corpus/lambiance-plaza.md,1987-04-23
Skyline Plaza collapse,structural,skyline-plaza-collapse,corpus/skyline-plaza-collapse.md,1973-03-02
Big Dig ceiling collapse,structural,big-dig-ceiling-collapse,corpus/big-dig-ceiling-collapse.md,2006-07-10
Longford gas explosion,chemical,longford-gas-explosion,corpus/longford-gas-explosion.md,1998-09-25
Minamata disease,chemical,minamata-disease,corpus/minamata-disease.md,1956-05-01
Love Canal,chemical,love-canal,corpus/love-canal.md,1978-08-01
Kyshtym disaster,chemical,kyshtym-disaster,corpus/kyshtym-disaster.md,1957-09-29
