site_id,site_name,agency_site_identifier,region,document_id,category,signature_date,document_path,document_title,official_source_url,retrieved_date,source_sha256,source_pdf_pages
SITE-01,FORMER KIL-TONE COMPANY,NJN000200874,EPA Region 2,377092,record-of-decision,2016-09-12,/input_artifacts/decision_documents/377092.txt,RECORD OF DECISION FOR OU1 FOR THE FORMER KIL-TONE COMPANY SITE,https://semspub.epa.gov/src/document/02/377092,2026-08-16,0537f7bba2658b2d3011ac2263c46a515532eaaf686b4dc5c0d0ff49495326a6,127
SITE-01,FORMER KIL-TONE COMPANY,NJN000200874,EPA Region 2,541228,record-of-decision,2019-09-27,/input_artifacts/decision_documents/541228.txt,RECORD OF DECISION FOR OU2 FOR THE FORMER KIL-TONE COMPANY SITE,https://semspub.epa.gov/src/document/02/541228,2026-08-16,31553b4976c05beacfa25cc0ca8c589dcf5f4a91d1f8461651048f02c7ca1c4c,194
SITE-01,FORMER KIL-TONE COMPANY,NJN000200874,EPA Region 2,616484,explanation-of-significant-differences,2021-07-14,/input_artifacts/decision_documents/616484.txt,EXPLANATION OF SIGNIFICANT DIFFERENCES FOR OU1 FOR THE FORMER KIL-TONE COMPANY SITE,https://semspub.epa.gov/src/document/02/616484,2026-08-16,a2aab621308298d7dee01695685453c1f55b86444e5baa33ae74a89ae0d83945,7
SITE-01,FORMER KIL-TONE COMPANY,NJN000200874,EPA Region 2,676977,explanation-of-significant-differences,2023-05-16,/input_artifacts/decision_documents/676977.txt,EXPLANATION OF SIGNIFICANT DIFFERENCES FOR OU2 FOR THE FORMER KIL-TONE COMPANY SITE,https://semspub.epa.gov/src/document/02/676977,2026-08-16,d368370f3913260913ca8e60743d22eb1e7b133e4ccc0983898ab545e5ae33f6,7
SITE-01,FORMER KIL-TONE COMPANY,NJN000200874,EPA Region 2,692965,explanation-of-significant-differences,2023-09-13,/input_artifacts/decision_documents/692965.txt,EXPLANATION OF SIGNIFICANT DIFFERENCES FOR OU1 FOR THE FORMER KIL-TONE COMPANY SITE,https://semspub.epa.gov/src/document/02/692965,2026-08-16,ce74dab19ac69912800e9a91647c6e84eaa18be06d502552b1ec4dd5e815237b,8
SITE-02,"MONITOR DEVICES, INC./INTERCIRCUITS, INC.",NJD980529408,EPA Region 2,103720,record-of-decision,2005-09-30,/input_artifacts/decision_documents/103720.txt,"Record of Decision, Monitor Devices/Intercircuits, Inc. Site, Operable Unit One - Groundwater, Wall
Township, Monmouth County, New Jersey, prepared by
U.S. EPA, Region 2, September 30, 2005.",https://semspub.epa.gov/src/document/02/103720,2026-08-16,e94736aab89e806f7ed37f0cac85cec7c03771004d24faf056a04019da0dfa35,125
SITE-02,"MONITOR DEVICES, INC./INTERCIRCUITS, INC.",NJD980529408,EPA Region 2,103723,record-of-decision,2006-09-29,/input_artifacts/decision_documents/103723.txt,"Record of Decision, Monitor Devices/Intercircuits, Inc. Site, Operable Unit Two - Soils, Wall
Township, Monmouth County, New Jersey, prepared by
U.S. EPA, Region 2, September 29, 2006.",https://semspub.epa.gov/src/document/02/103723,2026-08-16,a72b4ad058ba224b71e426db8f1d3660f8178a0f18e57ef536ea60543ddc87b7,53
SITE-02,"MONITOR DEVICES, INC./INTERCIRCUITS, INC.",NJD980529408,EPA Region 2,692925,record-of-decision-amendment,2023-09-20,/input_artifacts/decision_documents/692925.txt,RECORD OF DECISION AMENDMENT FOR OU1 FOR THE MONITOR DEVICES INCORPORATED / INTERCIRCUITS INCORPORATED SITE,https://semspub.epa.gov/src/document/02/692925,2026-08-16,e81753297547248142b11524e3969cc085c6c0dede876aea8fdfad6f9afd1377,164
SITE-03,"VINELAND CHEMICAL CO., INC.",NJD002385664,EPA Region 2,99365,record-of-decision,1989-09-28,/input_artifacts/decision_documents/99365.txt,RECORD OF DECISION FOR THE VINELAND CHEMICAL COMPANY INCORPORATED SITE,https://semspub.epa.gov/src/document/02/99365,2026-08-16,40470e7f96e8b17d2240c5620f2e971ca89f607e8596262bae66b920ef90373c,225
SITE-03,"VINELAND CHEMICAL CO., INC.",NJD002385664,EPA Region 2,110530,explanation-of-significant-differences,1997-06-30,/input_artifacts/decision_documents/110530.txt,"EXPLANATION OF SIGNIFICANT DIFFERENCES, VINELAND CHEMICAL COMPANY SUPERFUND SITE, VINELAND, NEW JERSEY.",https://semspub.epa.gov/src/document/02/110530,2026-08-16,c8ac86fa7dee5a6032a2fdecf756f47103c85043eac8c5211053daf1086507c2,11
SITE-03,"VINELAND CHEMICAL CO., INC.",NJD002385664,EPA Region 2,86310,explanation-of-significant-differences,2001-09-10,/input_artifacts/decision_documents/86310.txt,"EXPLANATION OF SIGNIFICANT DIFFERENCES, VINELAND CHEMICAL COMPANY SUPERFUND SITE.",https://semspub.epa.gov/src/document/02/86310,2026-08-16,0aef8dddfde31f503949e8da6e5a3949f84e6c4dd19919c00351155f5fd8ba70,10
SITE-03,"VINELAND CHEMICAL CO., INC.",NJD002385664,EPA Region 2,393184,record-of-decision-amendment,2016-09-27,/input_artifacts/decision_documents/393184.txt,RECORD OF DECISION AMENDMENT FOR OU3 FOR THE VINELAND CHEMICAL COMPANY SITE,https://semspub.epa.gov/src/document/02/393184,2026-08-16,5eadb4201af4d4e650bf18aac438d6c9fe43e5934b2ddfd60b4a342ea5ffb4f9,90
SITE-04,MONTGOMERY TOWNSHIP HOUSING DEVELOPMENT,NJD980654164,EPA Region 2,58276,record-of-decision,1987-09-29,/input_artifacts/decision_documents/58276.txt,Letter (9/16/1987) forwarding the attached Record of Decision and a letter from Commissioner Dewling of the Department of Environmental Protection concurring with the selected remedy,https://semspub.epa.gov/src/document/02/58276,2026-08-16,620932be6031a2a84345e014a7f0e079942a120a9427ffb75c3e8d43aa24a1e4,118
SITE-04,MONTGOMERY TOWNSHIP HOUSING DEVELOPMENT,NJD980654164,EPA Region 2,58320,record-of-decision,1988-06-30,/input_artifacts/decision_documents/58320.txt,Record of Decision - MONTGOMERY TOWNSHIP HOUSING DEVELOPMENT,https://semspub.epa.gov/src/document/02/58320,2026-08-16,ec175086e8a8dd6630b8ca24d3cd8f846328d14bf1dca29703a25b790910414d,205
SITE-04,MONTGOMERY TOWNSHIP HOUSING DEVELOPMENT,NJD980654164,EPA Region 2,92299,explanation-of-significant-differences,2005-08-19,/input_artifacts/decision_documents/92299.txt,"EXPLANATION OF SIGNIFICANT DIFFERENCES, MONTGOMERY TOWNSHIP HOUSING DEVELOPMENT, MONTGOMERY TOWNSHIP, SOMERSET COUNTY, NEW JERSEY.",https://semspub.epa.gov/src/document/02/92299,2026-08-16,be2a22047c116bceb4e131429d9dc1e0c30ef23179cb7857995a0eb67037edd7,7
SITE-05,MANSFIELD TRAIL DUMP,NJN000206345,EPA Region 2,528291,record-of-decision,2017-09-29,/input_artifacts/decision_documents/528291.txt,RECORD OF DECISION FOR OU1 FOR THE MANSFIELD TRAIL DUMP SITE,https://semspub.epa.gov/src/document/02/528291,2026-08-16,393a8e828d5030f791c1fa7d83906f4ec8919b99ccabe4767ca20d7a61d5d15d,156
