pair_id,comparison_lens,unit_a,unit_b
PA-001,closure_readiness,U01,U02
PA-002,closure_readiness,U02,U03
PA-003,closure_readiness,U03,U04
PA-004,closure_readiness,U04,U05
PA-005,closure_readiness,U05,U06
PA-006,closure_readiness,U06,U07
PA-007,closure_readiness,U07,U08
PA-008,closure_readiness,U08,U09
PA-009,closure_readiness,U09,U10
PA-010,closure_readiness,U10,U11
PA-011,closure_readiness,U11,U12
PA-012,closure_readiness,U12,U13
PA-013,closure_readiness,U13,U14
PA-014,closure_readiness,U14,U15
PA-015,closure_readiness,U15,U16
PA-016,closure_readiness,U16,U17
PA-017,closure_readiness,U17,U18
PA-018,closure_readiness,U18,U19
PA-019,closure_readiness,U19,U20
PA-020,closure_readiness,U20,U21
PA-021,closure_readiness,U21,U22
PA-022,closure_readiness,U22,U23
PA-023,closure_readiness,U23,U24
PA-024,closure_readiness,U24,U01
PA-025,dependency_leverage,U01,U09
PA-026,dependency_leverage,U02,U10
PA-027,dependency_leverage,U03,U11
PA-028,dependency_leverage,U04,U12
PA-029,dependency_leverage,U05,U13
PA-030,dependency_leverage,U06,U14
PA-031,dependency_leverage,U07,U15
PA-032,dependency_leverage,U08,U16
PA-033,dependency_leverage,U09,U17
PA-034,dependency_leverage,U10,U18
PA-035,dependency_leverage,U11,U19
PA-036,dependency_leverage,U12,U20
PA-037,dependency_leverage,U13,U21
PA-038,dependency_leverage,U14,U22
PA-039,dependency_leverage,U15,U23
PA-040,dependency_leverage,U16,U24
PA-041,dependency_leverage,U17,U01
PA-042,dependency_leverage,U18,U02
PA-043,dependency_leverage,U19,U03
PA-044,dependency_leverage,U20,U04
PA-045,dependency_leverage,U21,U05
PA-046,dependency_leverage,U22,U06
PA-047,dependency_leverage,U23,U07
PA-048,dependency_leverage,U24,U08
PA-049,evidence_burden,U01,U06
PA-050,evidence_burden,U02,U07
PA-051,evidence_burden,U03,U08
PA-052,evidence_burden,U04,U09
PA-053,evidence_burden,U05,U10
PA-054,evidence_burden,U06,U11
PA-055,evidence_burden,U07,U12
PA-056,evidence_burden,U08,U13
PA-057,evidence_burden,U09,U14
PA-058,evidence_burden,U10,U15
PA-059,evidence_burden,U11,U16
PA-060,evidence_burden,U12,U17
PA-061,evidence_burden,U13,U18
PA-062,evidence_burden,U14,U19
PA-063,evidence_burden,U15,U20
PA-064,evidence_burden,U16,U21
PA-065,evidence_burden,U17,U22
PA-066,evidence_burden,U18,U23
PA-067,evidence_burden,U19,U24
PA-068,evidence_burden,U20,U01
PA-069,evidence_burden,U21,U02
PA-070,evidence_burden,U22,U03
PA-071,evidence_burden,U23,U04
PA-072,evidence_burden,U24,U05
