block_id,project_id,project_name,registry,vintage_year,quantity_available,scope,activity_type,reduction_or_removal,methodology,country,region,first_project_vintage,project_status,arb_wa_project,estimated_annual_reductions
CB-001,ACR0182,Hanes Ranch Forest Carbon Project,ACR,2022,595,Forestry & Land Use,Improved Forest Management,Reduction,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2013,Listed - Active ARB Project,ARB Compliance,
CB-002,ACR0287,Green Assets - BJT Avoided Conversion Project,ACR,2022,7547,Forestry & Land Use,Avoided Forest Conversion,Reduction,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2018,Listed - Active ARB Project,ARB Compliance,
CB-003,ACR0367,Elk Creek Permit Area Abandoned Mine Project,ACR,2023,10482,Industrial & Commercial,Mine Methane Capture,Reduction,ARB Compliance Offset Protocol: Mine Methane Capture Projects,United States,North America,2016,Listed - Active ARB Project,ARB Compliance,
CB-004,ACR0505,Anew - Sharp Bingham Forestry Project,ACR,2022,13939,Forestry & Land Use,Improved Forest Management,Mixed,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,United States,North America,2019,Active: Registered,No,
CB-005,ACR0518,Anew - Burnt Mountain Forestry Project,ACR,2021,38753,Forestry & Land Use,Improved Forest Management,Mixed,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,United States,North America,2018,Active: Registered,No,
CB-006,ACR0545,WMMC2,ACR,2025,37914,Industrial & Commercial,Mine Methane Capture,Reduction,ARB Compliance Offset Protocol: Mine Methane Capture Projects,United States,North America,2024,Listed - Active ARB Project,ARB Compliance,
CB-007,ACR0576,Anew - Rainier Gateway Forestry Project,ACR,2023,15993,Forestry & Land Use,Improved Forest Management,Mixed,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,United States,North America,2020,Active: Registered,No,
CB-008,ACR0588,Anew - Big Six Forestry Project,ACR,2021,46774,Forestry & Land Use,Improved Forest Management,Mixed,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,United States,North America,2020,Active: Registered,No,
CB-009,ACR0634,ILTF/NICC & SIG Fond Du Lac Band Forest Carbon Project,ACR,2021,291,Forestry & Land Use,Improved Forest Management,Mixed,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,United States,North America,2019,Active: Registered,No,
CB-010,ACR0716,Chahta Yakni Ishtayah,ACR,2022,3502,Forestry & Land Use,Improved Forest Management,Mixed,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,United States,North America,2020,Active: Registered,No,
CB-011,ACR0718,Anew - Cole & Crane Forestry Project,ACR,2022,193587,Forestry & Land Use,Improved Forest Management,Mixed,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,United States,North America,2021,Active: Registered,No,
CB-012,ACR0731,Perennial CMM CMB7-1 Flare Project,ACR,2026,74344,Industrial & Commercial,Mine Methane Capture,Reduction,ARB Compliance Offset Protocol: Mine Methane Capture Projects,United States,North America,2023,Listed - Active ARB Project,ARB Compliance,
CB-013,ACR0761,Federal 2 Abandoned Mine Methane Recovery Project,ACR,2024,331363,Industrial & Commercial,Mine Methane Capture,Reduction,ARB Compliance Offset Protocol: Mine Methane Capture Projects,United States,North America,2022,Transferred ARB Project,ARB Compliance,
CB-014,ACR0782,ILTF/NICC & Blackfeet Indian Nation Forest Carbon Project,ACR,2023,76420,Forestry & Land Use,Improved Forest Management,Mixed,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,United States,North America,2020,Active: Registered,No,
CB-015,ACR0785,Finite Carbon - Bessey Development Company IFM,ACR,2022,93346,Forestry & Land Use,Improved Forest Management,Mixed,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,United States,North America,2022,Active: Registered,No,
CB-016,ACR0794,Whirlpool HFO Amana 794,ACR,2021,904574,Chemical Processes,HFC Replacement in Foam Production,Reduction,ACR Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,United States,North America,2021,Completed,No,
CB-017,ACR0828,Anew - Manistique Forestry Project,ACR,2023,53834,Forestry & Land Use,Improved Forest Management,Mixed,ACR Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,United States,North America,2022,Active: Registered,No,
CB-018,ACR0845,Harrison County Flare I,ACR,2024,64444,Industrial & Commercial,Mine Methane Capture,Reduction,ARB Compliance Offset Protocol: Mine Methane Capture Projects,United States,North America,2023,Listed - Active ARB Project,ARB Compliance,
CB-019,ACR0908,Buchanan VAM VS-16,ACR,2024,91778,Industrial & Commercial,Mine Methane Capture,Reduction,ARB Compliance Offset Protocol: Mine Methane Capture Projects,United States,North America,2023,Listed - Active ARB Project,ARB Compliance,
CB-020,ACR0928,Reclamation Technologies: HFC Reclamation Project 1,ACR,2022,755,Chemical Processes,HFC Refrigerant Reclamation,Reduction,"ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",United States,North America,2022,Completed,No,
CB-021,ACR1066,A-Gas V18,ACR,2024,1460456,Chemical Processes,HFC Refrigerant Reclamation,Reduction,"ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",United States,North America,2024,Completed,No,
CB-022,ACR1088,Advanced Refrigeration - ARS2022008,ACR,2023,64910,Chemical Processes,Advanced Refrigerants,Reduction,ACR Advanced Refrigeration Systems,United States,North America,2022,Completed,No,
CB-023,ACR1104,Advanced Refrigeration - ARS2023006,ACR,2024,21307,Chemical Processes,Advanced Refrigerants,Reduction,ACR Advanced Refrigeration Systems,United States,North America,2023,Completed,No,
CB-024,ACR1174,Advanced Refrigeration - ARS2025001,ACR,2025,52354,Chemical Processes,Advanced Refrigerants,Reduction,ACR Advanced Refrigeration Systems,United States,North America,2024,Completed,No,
CB-025,ACR1204,Advanced Refrigeration - ARS2025007,ACR,2025,43779,Chemical Processes,Advanced Refrigerants,Reduction,ACR Advanced Refrigeration Systems,United States,North America,2025,Active: Registered,No,
CB-026,CAR1032,Virginia Highlands I,CAR,2022,3962,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2013,Registered,ARB Compliance,
CB-027,CAR1086,Finite Carbon - Potlatch Moro Big Pine CE IFM,CAR,2023,19919,Forestry & Land Use,Improved Forest Management,Mixed,ARB Compliance Offset Protocol: U.S. Forest Projects,United States,North America,2014,Registered,ARB Compliance,
CB-028,CAR1275,Chaput Family Farms,CAR,2023,6529,Agriculture,Manure Methane Digester,Reduction,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,United States,North America,2019,Registered,ARB Compliance,
