project_id,registry,programme_labels
ACR0182,ACR,DEBS
ACR0287,ACR,none recorded
ACR0367,ACR,none recorded
ACR0505,ACR,none recorded
ACR0518,ACR,none recorded
ACR0545,ACR,none recorded
ACR0576,ACR,CORSIA 2021-2023 (Pilot Phase)
ACR0588,ACR,none recorded
ACR0634,ACR,CORSIA 2021-2023 (Pilot Phase)
ACR0716,ACR,CORSIA 2021-2023 (Pilot Phase)
ACR0718,ACR,none recorded
ACR0731,ACR,none recorded
ACR0761,ACR,none recorded
ACR0782,ACR,CORSIA 2021-2023 (Pilot Phase)
ACR0785,ACR,none recorded
ACR0794,ACR,none recorded
ACR0828,ACR,none recorded
ACR0845,ACR,none recorded
ACR0908,ACR,none recorded
ACR0928,ACR,none recorded
ACR1066,ACR,none recorded
ACR1088,ACR,none recorded
ACR1104,ACR,none recorded
ACR1174,ACR,none recorded
ACR1204,ACR,none recorded
CAR1032,CAR,none recorded
CAR1086,CAR,none recorded
CAR1275,CAR,none recorded
CAR1284,CAR,CORSIA 2021-2023 (Pilot Phase)
CAR1325,CAR,CORSIA 2021-2023 (Pilot Phase)
CAR1329,CAR,DEBS
CAR1332,CAR,none recorded
CAR1336,CAR,none recorded
CAR1356,CAR,none recorded
CAR1360,CAR,none recorded
CAR1368,CAR,DEBS
CAR1442,CAR,none recorded
CAR1448,CAR,none recorded
CAR1480,CAR,ICVCM CCP; CORSIA 2021-2023 (Pilot Phase); CORSIA 2024-2026 (First Phase)
CAR1495,CAR,ICVCM CCP; CORSIA 2021-2023 (Pilot Phase)
CAR1505,CAR,CORSIA 2021-2023 (Pilot Phase)
CAR1507,CAR,CORSIA 2021-2023 (Pilot Phase)
CAR1508,CAR,none recorded
CAR1521,CAR,none recorded
CAR1577,CAR,none recorded
CAR1597,CAR,none recorded
CAR1635,CAR,none recorded
CAR1644,CAR,ICVCM CCP
CAR1655,CAR,none recorded
CAR1674,CAR,none recorded
CAR1675,CAR,none recorded
CAR1798,CAR,none recorded
CAR1859,CAR,ICVCM CCP
CAR1876,CAR,none recorded
CAR1894,CAR,ICVCM CCP
CAR1897,CAR,none recorded
CAR1934,CAR,ICVCM CCP
CAR1935,CAR,none recorded
CAR1956,CAR,none recorded
CAR2045,CAR,none recorded
CAR2058,CAR,none recorded
CAR2113,CAR,none recorded
CAR676,CAR,none recorded
CAR768,CAR,none recorded
GS10220,GOLD,Emission Removal
GS10790,GOLD,ICVCM CCP; Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS1091,GOLD,Emission Reduction; CORSIA 2021-2023 (Pilot Phase)
GS1104,GOLD,Emission Reduction
GS11135,GOLD,"Emission Reduction; Article Six Authorization: Authorized for CORSIA, Compliance (Any NDC), Other Purpose (General); CORSIA 2024-2026 (First Phase)"
GS11136,GOLD,"Emission Reduction; Article Six Authorization: Authorized for CORSIA, Compliance (Any NDC), Other Purpose (General); CORSIA 2024-2026 (First Phase)"
