country,sector,cn_code,description,default_direct_tco2e_per_t,default_indirect_tco2e_per_t,default_total_tco2e_per_t,production_route_of_benchmark
India,Cement,2507 00 80 80,Calcined clay,-,-,-,
India,Cement,2523 10 00 90,Other clinker including grey clinker,"1,390","0,050","1,440",(A)
India,Cement,2523 29 00,Grey Portland cement,"1,390","0,090","1,480",
India,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"1,940","0,070","2,010",
India,Fertilisers,2814 10 00,Anhydrous ammonia,"3,060","0,220","3,280",
India,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","2,050","0,170","2,220",
India,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,180","0,160","2,340",
India,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,970","0,150","1,120",
India,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,720","0,090","0,810",
India,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","2,530",N/A,"2,530",
India,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon","2,350",N/A,"2,350",
India,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms","4,200",N/A,"4,200",
India,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","4,270",N/A,"4,270",(C)
India,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","4,280",N/A,"4,280",(C)
India,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","4,280",N/A,"4,280",(C)
India,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","4,270",N/A,"4,270",(C)
India,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm","6,490",N/A,"6,490",
India,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","4,910",N/A,"4,910",(C)
India,Aluminium,7601,Unwrought aluminium,"1,870",N/A,"1,870",(K)
India,Aluminium,7604 21 00,Hollow profiles,"3,444",N/A,"3,444",(K)
India,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","4,126",N/A,"4,126",(K)
India,Aluminium,7608,Aluminium tubes and pipes,"3,444",N/A,"3,444",(K)
India,Aluminium,7610 90 90,Other,"3,444",N/A,"3,444",(K)
Turkiye,Cement,2507 00 80 80,Calcined clay,-,-,-,
Turkiye,Cement,2523 10 00 90,Other clinker including grey clinker,-,-,-,
Turkiye,Cement,2523 29 00,Grey Portland cement,-,-,-,
Turkiye,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,680","0,030","2,720",
Turkiye,Fertilisers,2814 10 00,Anhydrous ammonia,"2,170","0,100","2,270",
Turkiye,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","1,440","0,080","1,510",
Turkiye,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,530","0,070","2,600",
Turkiye,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","1,060","0,060","1,120",
Turkiye,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,510","0,040","0,550",
Turkiye,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","1,850",N/A,"1,850",
Turkiye,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon","2,350",N/A,"2,350",
Turkiye,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",-,N/A,-,
Turkiye,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","2,310",N/A,"2,310",(C)
Turkiye,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","2,428",N/A,"2,428",(C)
Turkiye,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","2,510",N/A,"2,510",(C)
Turkiye,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","2,310",N/A,"2,310",(C)
Turkiye,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm","5,470",N/A,"5,470",
Turkiye,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","2,583",N/A,"2,583",(C)
Turkiye,Aluminium,7601,Unwrought aluminium,"1,700",N/A,"1,700",(K)
Turkiye,Aluminium,7604 21 00,Hollow profiles,"3,741",N/A,"3,741",(K)
Turkiye,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","2,714",N/A,"2,714",(K)
Turkiye,Aluminium,7608,Aluminium tubes and pipes,"2,754",N/A,"2,754",(K)
Turkiye,Aluminium,7610 90 90,Other,"2,674",N/A,"2,674",(K)
China,Cement,2507 00 80 80,Calcined clay,"0,210","0,110","0,320",
China,Cement,2523 10 00 90,Other clinker including grey clinker,"1,350","0,040","1,390",(A)
China,Cement,2523 29 00,Grey Portland cement,"1,350","0,070","1,420",
China,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"3,020","0,060","3,080",
China,Fertilisers,2814 10 00,Anhydrous ammonia,"4,170","0,190","4,360",
China,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","2,700","0,140","2,850",
China,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","3,230","0,140","3,370",
China,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","1,410","0,120","1,530",
China,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,970","0,080","1,040",
China,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","1,660",N/A,"1,660",
China,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon","2,350",N/A,"2,350",
China,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",-,N/A,-,
China,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","3,169",N/A,"3,169",(C)
China,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","3,187",N/A,"3,187",(C)
China,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","3,205",N/A,"3,205",(C)
China,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","3,169",N/A,"3,169",(C)
China,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm","5,580",N/A,"5,580",
China,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","3,076",N/A,"3,076",(C)
China,Aluminium,7601,Unwrought aluminium,"3,000",N/A,"3,000",(K)
China,Aluminium,7604 21 00,Hollow profiles,"4,881",N/A,"4,881",(K)
China,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","4,120",N/A,"4,120",(K)
China,Aluminium,7608,Aluminium tubes and pipes,"4,896",N/A,"4,896",(K)
China,Aluminium,7610 90 90,Other,"4,896",N/A,"4,896",(K)
Egypt,Cement,2507 00 80 80,Calcined clay,-,-,-,
Egypt,Cement,2523 10 00 90,Other clinker including grey clinker,"1,240","0,030","1,270",(A)
Egypt,Cement,2523 29 00,Grey Portland cement,"1,240","0,050","1,290",
Egypt,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,460","0,030","2,490",
Egypt,Fertilisers,2814 10 00,Anhydrous ammonia,"1,960","0,100","2,050",
Egypt,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","1,320","0,080","1,390",
Egypt,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,320","0,080","2,390",
Egypt,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,970","0,070","1,040",
Egypt,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,460","0,040","0,500",
Egypt,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon","2,350",N/A,"2,350",
Egypt,Aluminium,7601,Unwrought aluminium,"1,870",N/A,"1,870",(K)
Egypt,Aluminium,7604 21 00,Hollow profiles,"3,025",N/A,"3,025",(K)
Egypt,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","3,624",N/A,"3,624",(K)
Egypt,Aluminium,7608,Aluminium tubes and pipes,"3,025",N/A,"3,025",(K)
Egypt,Aluminium,7610 90 90,Other,"3,025",N/A,"3,025",(K)
Ukraine,Cement,2507 00 80 80,Calcined clay,-,-,-,
Ukraine,Cement,2523 10 00 90,Other clinker including grey clinker,"1,340","0,030","1,370",(A)
Ukraine,Cement,2523 29 00,Grey Portland cement,"1,340","0,050","1,380",
Ukraine,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,700","0,030","2,730",
Ukraine,Fertilisers,2814 10 00,Anhydrous ammonia,"2,160","0,090","2,250",
Ukraine,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","1,380","0,070","1,450",
Ukraine,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,530","0,070","2,600",
Ukraine,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","1,050","0,060","1,120",
Ukraine,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,500","0,040","0,540",
Ukraine,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","2,173",N/A,"2,173",
Ukraine,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon","2,350",N/A,"2,350",
Ukraine,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",-,N/A,-,
Ukraine,Iron and steel,7207 11 14,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)","2,397",N/A,"2,397",(C)
Ukraine,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated","2,483",N/A,"2,483",(C)
Ukraine,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated","2,544",N/A,"2,544",(C)
Ukraine,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils","2,397",N/A,"2,397",(C)
Ukraine,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm","3,230",N/A,"3,230",
Ukraine,Iron and steel,7326 90 98,"Articles of iron or steel, n.e.s.","2,543",N/A,"2,543",(C)
Ukraine,Aluminium,7601,Unwrought aluminium,"0,360",N/A,"0,360",(L)
Ukraine,Aluminium,7604 21 00,Hollow profiles,"0,730",N/A,"0,730",(L)
Ukraine,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm","1,180",N/A,"1,180",(L)
Ukraine,Aluminium,7608,Aluminium tubes and pipes,"0,730",N/A,"0,730",(L)
Ukraine,Aluminium,7610 90 90,Other,"0,730",N/A,"0,730",(L)
Serbia,Cement,2507 00 80 80,Calcined clay,-,-,-,
Serbia,Cement,2523 10 00 90,Other clinker including grey clinker,"1,330","0,060","1,380",(A)
Serbia,Cement,2523 29 00,Grey Portland cement,"1,310","0,100","1,410",
Serbia,Fertilisers,2808 00 00,Nitric acid; sulphonitric acids,"2,700","0,030","2,730",
Serbia,Fertilisers,2814 10 00,Anhydrous ammonia,"2,160","0,100","2,260",
Serbia,Fertilisers,3102 10 19,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)","1,390","0,080","1,460",
Serbia,Fertilisers,3102 30 90,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","2,530","0,070","2,600",
Serbia,Fertilisers,3105 20 10,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","1,050","0,070","1,120",
Serbia,Fertilisers,3105 30 00,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","0,500","0,040","0,540",
Serbia,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","2,160",N/A,"2,160",
Serbia,Iron and steel,7202 41,"Ferro-chromium, containing by weight > 4% of carbon","2,350",N/A,"2,350",
Serbia,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",-,N/A,-,
