cn_code,sector,description,covered
2507 00 80 80,Cement,Calcined clay,yes
2523 10 00 90,Cement,Other clinker including grey clinker,yes
2523 29 00,Cement,Grey Portland cement,yes
2808 00 00,Fertilisers,Nitric acid; sulphonitric acids,yes
2814 10 00,Fertilisers,Anhydrous ammonia,yes
3102 10 19,Fertilisers,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",yes
3102 30 90,Fertilisers,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",yes
3105 20 10,Fertilisers,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",yes
3105 30 00,Fertilisers,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",yes
7201,Iron and steel,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms",yes
7202 41,Iron and steel,"Ferro-chromium, containing by weight > 4% of carbon",yes
7203,Iron and steel,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",yes
7207 11 14,Iron and steel,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",yes
7208,Iron and steel,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated",yes
7209,Iron and steel,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated",yes
7213,Iron and steel,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils",yes
7219 12,Iron and steel,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm",yes
7326 90 98,Iron and steel,"Articles of iron or steel, n.e.s.",yes
7601,Aluminium,Unwrought aluminium,yes
7604 21 00,Aluminium,Hollow profiles,yes
7606,Aluminium,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm",yes
7608,Aluminium,Aluminium tubes and pipes,yes
7610 90 90,Aluminium,Other,yes
3824 99 96,,"Chemical products and preparations of the chemical industry, other",no
7315 12 00,,"Articles of iron or steel chain, other chain",no
8207 19 90,,"Interchangeable rock drilling tools, other",no
8481 80 79,,"Taps, cocks and valves, other",no
8544 30 00,,Ignition wiring sets and other wiring sets for vehicles,no
