currency,units_per_euro,basis
BRL,6.2140,desk reference rate for the first half of 2026
CNY,7.9140,desk reference rate for the first half of 2026
DZD,146.9000,desk reference rate for the first half of 2026
EGP,54.2700,desk reference rate for the first half of 2026
INR,96.1400,desk reference rate for the first half of 2026
KRW,1487.6000,desk reference rate for the first half of 2026
KZT,548.3000,desk reference rate for the first half of 2026
MAD,10.7180,desk reference rate for the first half of 2026
TRY,46.8200,desk reference rate for the first half of 2026
UAH,45.9400,desk reference rate for the first half of 2026
USD,1.0840,desk reference rate for the first half of 2026
VND,27350.0000,desk reference rate for the first half of 2026
