importer_code,importer_name,eori,member_state,represented_since
IMP-01,Verhaeghe Staalhandel NV,BE0684912337,BE,2024-11-01
IMP-02,Rijnmond Metals Trading BV,NL8291447120,NL,2024-11-01
IMP-03,Kempen Bouwstoffen NV,BE0713220894,BE,2024-11-01
IMP-04,Atelier Duval Menuiserie Metallique SARL,FR41780229117,FR,2024-11-01
IMP-05,Nordwest Agrarhandel GmbH,DE812447903,DE,2024-11-01
IMP-06,Scaldis Aluminium Distribution NV,BE0729114508,BE,2024-11-01
IMP-07,Lusatia Draht und Profil GmbH,DE307119442,DE,2024-11-01
IMP-08,Hesperange Construction Materials Sarl,LU28841190,LU,2024-11-01
IMP-09,Zeeland Speciaalstaal BV,NL8617302284,NL,2024-11-01
IMP-10,Cimenterie de la Sambre SA,BE0448776129,BE,2024-11-01
IMP-11,Baltic Fertiliser Import UAB,LT100012440118,LT,2024-11-01
IMP-12,Atelier Verrerie Hasselt BVBA,BE0771904226,BE,2024-11-01
