installation_id,operator,city,country,sector,cn_code,declared_production_route,operator_communication_on_file
INST-101,Dniprovske Chavun LLC,Kamianske,Ukraine,Iron and steel,7201,blast furnace ironmaking,OER-2026-101
INST-102,Dniprovske Chavun LLC,Kamianske,Ukraine,Iron and steel,7207 11 14,basic oxygen steelmaking,OER-2026-102
INST-103,Podunavlje Valjaonica d.o.o.,Smederevo,Serbia,Iron and steel,7208,hot rolling of semi-finished steel,OER-2026-103
INST-104,Kalinga Sponge Works Pvt Ltd,Rourkela,India,Iron and steel,7203,direct reduction of iron ore,OER-2026-104
INST-105,Kalinga Sponge Works Pvt Ltd,Rourkela,India,Iron and steel,7207 11 14,electric arc furnace with direct reduced iron,OER-2026-105
INST-106,Sahyadri Rod Mills Ltd,Hospet,India,Iron and steel,7213,hot rolling of semi-finished steel,OER-2026-106
INST-107,Marmara Sicak Haddeleme A.S.,Kocaeli,Turkiye,Iron and steel,7208,hot rolling of semi-finished steel,OER-2026-107
INST-108,Song Gianh Steel JSC,Quang Binh,Viet Nam,Iron and steel,7208,hot rolling of semi-finished steel,OER-2026-108
INST-109,Song Gianh Steel JSC,Quang Binh,Viet Nam,Iron and steel,7213,hot rolling of semi-finished steel,OER-2026-109
INST-110,Cua Lo Billet Company Ltd,Nghe An,Viet Nam,Iron and steel,7207 11 14,"electric arc furnace, scrap based",OER-2026-110
INST-111,Aktobe Chrome Alloys JSC,Aktobe,Kazakhstan,Iron and steel,7202 41,submerged arc smelting of ferro-alloys,OER-2026-111
INST-112,Beiwan Stainless Group Co Ltd,Yingkou,China,Iron and steel,7219 12,stainless flat rolling,OER-2026-112
INST-113,Nile Delta Rod and Bar SAE,Sadat City,Egypt,Iron and steel,7213,hot rolling of semi-finished steel,OER-2026-113
INST-114,Vale do Paraopeba Ferro Gusa Ltda,Sete Lagoas,Brazil,Iron and steel,7201,blast furnace ironmaking,OER-2026-114
INST-115,Bharuch Fabricated Steel Ltd,Bharuch,India,Iron and steel,7326 90 98,fabrication of steel articles,OER-2026-115
INST-116,Matola Primary Aluminium SA,Maputo,Mozambique,Aluminium,7601,primary aluminium electrolysis,OER-2026-116
INST-117,Sitra Smelter Company BSC,Sitra,Bahrain,Aluminium,7601,primary aluminium electrolysis,OER-2026-117
INST-118,Gebze Ekstruzyon Sanayi A.S.,Gebze,Turkiye,Aluminium,7604 21 00,aluminium extrusion,OER-2026-118
INST-119,Hanjiang Rolled Aluminium Co Ltd,Xiangyang,China,Aluminium,7606,aluminium flat rolling,OER-2026-119
INST-120,Hanjiang Rolled Aluminium Co Ltd,Xiangyang,China,Aluminium,7608,aluminium extrusion,OER-2026-120
INST-121,Gunsan Sheet Aluminium Co Ltd,Gunsan,"Korea, Republic of",Aluminium,7606,aluminium flat rolling,OER-2026-121
INST-122,Gebze Ekstruzyon Sanayi A.S.,Gebze,Turkiye,Aluminium,7610 90 90,aluminium fabrication,OER-2026-122
INST-123,Angul Primary Metal Ltd,Angul,India,Aluminium,7601,primary aluminium electrolysis,OER-2026-123
INST-124,Angul Primary Metal Ltd,Angul,India,Aluminium,7606,aluminium flat rolling,OER-2026-124
INST-125,Bolu Klinker Fabrikasi A.S.,Bolu,Turkiye,Cement,2523 10 00 90,clinker burning,OER-2026-125
INST-126,Bolu Klinker Fabrikasi A.S.,Bolu,Turkiye,Cement,2523 29 00,cement grinding,OER-2026-126
INST-127,Ciments de Doukkala SA,El Jadida,Morocco,Cement,2523 10 00 90,clinker burning,OER-2026-127
INST-128,Ciments de Doukkala SA,El Jadida,Morocco,Cement,2523 29 00,cement grinding,OER-2026-128
INST-129,Kindia Calcined Clays SA,Kindia,Guinea,Cement,2507 00 80 80,clay calcination,OER-2026-129
INST-130,Damietta Ammonia Company SAE,Damietta,Egypt,Fertilisers,2814 10 00,steam reforming and ammonia synthesis,OER-2026-130
INST-131,Damietta Ammonia Company SAE,Damietta,Egypt,Fertilisers,3102 10 19,urea synthesis,OER-2026-131
INST-132,Arzew Azote SpA,Arzew,Algeria,Fertilisers,2814 10 00,steam reforming and ammonia synthesis,OER-2026-132
INST-133,Arzew Azote SpA,Arzew,Algeria,Fertilisers,3102 10 19,urea synthesis,OER-2026-133
INST-134,Jorf Acides SA,Jorf Lasfar,Morocco,Fertilisers,2808 00 00,ammonia oxidation to nitric acid,OER-2026-134
INST-135,Jorf Acides SA,Jorf Lasfar,Morocco,Fertilisers,3105 20 10,compound fertiliser granulation,OER-2026-135
INST-136,Damietta Ammonia Company SAE,Damietta,Egypt,Fertilisers,3102 30 90,ammonium nitrate neutralisation,OER-2026-136
