work_item_id,ndc_code,chamber_name,river,component_code,component_label,requires_dewatering,bulkhead_class,requested_duration_days,crew_class,deferrals_to_date,last_major_rehab_year
WI-001,4164000602,GREENUP LOCKS & DAM,OHIO,LOWER_SILL,lower sill and quoin block,Y,N110,18,HEAVY,0,2027
WI-002,3148210001,LOCK & DAM 15,MISSISSIPPI,LOWER_SILL,lower sill and quoin block,Y,N108,18,HEAVY,0,1977
WI-003,3027340601,LOCK & DAM 24,MISSISSIPPI,MITER_GATE_DOWNSTREAM,downstream miter gate leaf,Y,N110,20,HEAVY,2,1961
WI-004,7728600601,BRANDON ROAD LOCK & DAM,ILLINOIS,GUIDE_WALL,upstream guide wall cell,N,,11,STANDARD,1,1993
WI-005,3281520601,LOCK & DAM 2,MISSISSIPPI,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N110,15,STANDARD,1,1981
WI-006,3134310001,LOCK & DAM 20,MISSISSIPPI,HYDRAULIC_SYSTEM,gate hydraulic cylinder and lines,N,,13,STANDARD,0,1987
WI-007,3017938601,CHAINS OF ROCKS L/D 27,MISSISSIPPI,GUIDE_WALL,upstream guide wall cell,N,,18,HEAVY,0,2016
WI-008,4274450601,RACINE LOCKS & DAM,OHIO,BULKHEAD_SLOT,bulkhead slot and seal face,N,,10,LIGHT,0,2014
WI-009,7724460601,MARSEILLES LOCK & DAM,ILLINOIS,MITER_GATE_DOWNSTREAM,downstream miter gate leaf,Y,N108,21,HEAVY,1,1971
WI-010,3271430601,LOCK & DAM 6,MISSISSIPPI,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N105,17,STANDARD,1,1961
WI-011,7715770601,PEORIA LOCK & DAM,ILLINOIS,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N108,14,STANDARD,2,1967
WI-012,4270280702,ROBERT C. BYRD,OHIO,HYDRAULIC_SYSTEM,gate hydraulic cylinder and lines,N,,9,LIGHT,1,2035
WI-013,3141050601,LOCK & DAM 18,MISSISSIPPI,LOWER_SILL,lower sill and quoin block,Y,N108,16,STANDARD,0,2003
WI-014,4389680601,PIKE ISLAND LOCK & DAM,OHIO,GUIDE_WALL,upstream guide wall cell,N,,10,LIGHT,0,2022
WI-015,4397480001,EMSWORTH LOCK & DAM,OHIO,MITER_GATE_UPSTREAM,upstream miter gate leaf,Y,N110,15,STANDARD,0,1954
WI-016,4004210601,LOCK & DAM 52,OHIO,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N110,9,LIGHT,0,1993
WI-017,4282060601,WILLOW ISLAND LOCKS & DAM,OHIO,CHAMBER_WALL_ARMOR,chamber wall armor plate,Y,N110,12,STANDARD,0,2003
WI-018,4270280702,ROBERT C. BYRD,OHIO,LOWER_SILL,lower sill and quoin block,Y,N110,16,STANDARD,1,2044
WI-019,3285310101,ST ANTHONY FALLS UPPER LOCK & DAM,MISSISSIPPI,LOWER_SILL,lower sill and quoin block,Y,N54,22,HEAVY,1,2009
WI-020,3281520601,LOCK & DAM 2,MISSISSIPPI,GUIDE_WALL,upstream guide wall cell,N,,15,STANDARD,2,1976
WI-021,3130120601,LOCK & DAM 22,MISSISSIPPI,LOWER_SILL,lower sill and quoin block,Y,N108,24,HEAVY,0,1960
WI-022,3155610001,LOCK & DAM 12,MISSISSIPPI,LOWER_SILL,lower sill and quoin block,Y,N108,28,HEAVY,1,1980
WI-023,4020530602,NEWBURGH LOCK & DAM,OHIO,GUIDE_WALL,upstream guide wall cell,N,,16,STANDARD,2,2026
WI-024,4037720102,MCALPINE LOCKS & DAM,OHIO,MITER_GATE_DOWNSTREAM,downstream miter gate leaf,Y,N110,20,HEAVY,0,2001
WI-025,4277850601,BELLEVILLE LOCKS & DAM,OHIO,BULKHEAD_SLOT,bulkhead slot and seal face,N,,12,STANDARD,2,1995
WI-026,4385560601,HANNIBAL LOCKS & DAM,OHIO,GUIDE_WALL,upstream guide wall cell,N,,10,LIGHT,1,2005
WI-027,4392790601,NEW CUMBERLAND LOCK & DAM,OHIO,MITER_GATE_DOWNSTREAM,downstream miter gate leaf,Y,N110,17,STANDARD,1,1980
WI-028,7708020601,LAGRANGE LOCK & DAM,ILLINOIS,HYDRAULIC_SYSTEM,gate hydraulic cylinder and lines,N,,12,STANDARD,0,1990
WI-029,4020530602,NEWBURGH LOCK & DAM,OHIO,BULKHEAD_SLOT,bulkhead slot and seal face,N,,10,LIGHT,1,2033
WI-030,3272850601,LOCK & DAM 5A,MISSISSIPPI,HYDRAULIC_SYSTEM,gate hydraulic cylinder and lines,N,,10,LIGHT,2,1956
WI-031,4013500602,JOHN T. MYERSLOCK & DAM,OHIO,GUIDE_WALL,upstream guide wall cell,N,,16,STANDARD,0,2044
WI-032,3261510601,LOCK & DAM 10,MISSISSIPPI,MITER_GATE_UPSTREAM,upstream miter gate leaf,Y,N105,15,STANDARD,0,1956
