tow_id,operator,route_segments,primary_river,barge_count,tow_length_ft,tow_width_ft,commodity,committed_tons,transit_window_start,transit_window_end
TW-001,Two Rivers Marine,MISSISSIPPI:306.2-716.6,MISSISSIPPI,2,550,35,soybean meal,3150,2027-02-23,2027-03-25
TW-002,Consolidated River Transport,MISSISSIPPI:417.3-497.3,MISSISSIPPI,15,1135,105,grain,18850,2026-12-03,2026-12-17
TW-003,Northbend Marine,ILLINOIS:142.2-252.8,ILLINOIS,6,745,70,cement,2400,2027-01-31,2027-02-12
TW-004,Northbend Marine,MISSISSIPPI:308.7-447.9,MISSISSIPPI,8,940,70,coal,20700,2027-01-19,2027-02-02
TW-005,Heartland Barge,MISSISSIPPI:483.2-845.7,MISSISSIPPI,15,1135,105,steel coil,1500,2027-01-06,2027-01-16
TW-006,Blackwater Towing,MISSISSIPPI:476.6-600.9,MISSISSIPPI,8,940,70,salt,2000,2026-11-30,2026-12-27
TW-007,Heartland Barge,ILLINOIS:82.9-291.1;MISSISSIPPI:191.9-218.0,ILLINOIS/MISSISSIPPI,6,745,70,coal,14750,2027-01-30,2027-02-10
TW-008,Cardinal Line,MISSISSIPPI:543.6-711.7,MISSISSIPPI,6,745,70,petroleum coke,20300,2027-02-07,2027-03-06
TW-009,Cardinal Line,OHIO:435.2-555.2,OHIO,9,745,105,steel coil,17150,2027-01-30,2027-02-15
TW-010,Northbend Marine,OHIO:467.5-587.5,OHIO,12,940,105,grain,9600,2026-12-05,2026-12-25
TW-011,Heartland Barge,MISSISSIPPI:222.9-302.9,MISSISSIPPI,2,550,35,coal,16550,2027-01-30,2027-03-03
TW-012,Cardinal Line,ILLINOIS:244.3-291.1;MISSISSIPPI:187.7-218.0,ILLINOIS/MISSISSIPPI,2,550,35,fertilizer,3100,2027-01-14,2027-01-26
TW-013,Delta Keel Services,OHIO:427.1-547.1,OHIO,15,1135,105,cement,3050,2027-02-08,2027-02-23
TW-014,Northbend Marine,OHIO:710.7-843.9,OHIO,9,745,105,chemical (non-hazardous),20100,2026-12-25,2027-01-14
TW-015,Cardinal Line,MISSISSIPPI:356.3-575.6,MISSISSIPPI,9,745,105,grain,20400,2027-02-01,2027-02-15
TW-016,Consolidated River Transport,OHIO:553.9-881.6,OHIO,9,745,105,steel coil,16900,2027-02-24,2027-03-08
TW-017,Cardinal Line,ILLINOIS:97.6-291.1;MISSISSIPPI:196.3-218.0,ILLINOIS/MISSISSIPPI,8,940,70,cement,1400,2026-12-30,2027-01-09
TW-018,Consolidated River Transport,MISSISSIPPI:552.0-695.4,MISSISSIPPI,15,1135,105,salt,15750,2027-02-25,2027-03-26
TW-019,Delta Keel Services,MISSISSIPPI:367.1-549.7,MISSISSIPPI,12,940,105,coal,5050,2027-03-01,2027-03-14
TW-020,Blackwater Towing,MISSISSIPPI:425.4-505.4,MISSISSIPPI,1,355,35,steel coil,12500,2026-12-26,2027-01-08
TW-021,Northbend Marine,MISSISSIPPI:782.2-853.9,MISSISSIPPI,4,550,70,chemical (non-hazardous),5150,2027-02-16,2027-03-21
TW-022,Two Rivers Marine,OHIO:94.4-668.1,OHIO,2,550,35,aggregate,20050,2026-12-11,2027-01-03
TW-023,Northbend Marine,ILLINOIS:119.3-279.5,ILLINOIS,9,745,105,coal,5300,2027-02-21,2027-03-07
TW-024,Delta Keel Services,OHIO:695.7-815.7,OHIO,12,940,105,soybean meal,21150,2026-12-12,2027-01-09
TW-025,Blackwater Towing,MISSISSIPPI:598.4-748.0,MISSISSIPPI,12,940,105,petroleum coke,14000,2027-02-17,2027-03-10
TW-026,Northbend Marine,OHIO:227.0-687.7,OHIO,1,355,35,coal,15150,2026-12-02,2027-01-04
TW-027,Two Rivers Marine,ILLINOIS:169.1-291.1;MISSISSIPPI:193.4-218.0,ILLINOIS/MISSISSIPPI,15,1135,105,salt,22700,2026-12-11,2027-01-11
TW-028,Blackwater Towing,MISSISSIPPI:286.8-425.8,MISSISSIPPI,8,940,70,soybean meal,5400,2026-12-20,2027-01-03
TW-029,Two Rivers Marine,OHIO:36.6-156.6,OHIO,8,940,70,grain,10700,2026-12-07,2027-01-06
TW-030,Consolidated River Transport,ILLINOIS:195.0-291.1;MISSISSIPPI:199.8-218.0,ILLINOIS/MISSISSIPPI,3,745,35,fertilizer,21000,2026-12-29,2027-01-20
TW-031,Consolidated River Transport,MISSISSIPPI:497.2-823.1,MISSISSIPPI,8,940,70,cement,5250,2027-01-30,2027-03-05
TW-032,Two Rivers Marine,ILLINOIS:125.6-291.1;MISSISSIPPI:213.0-218.0,ILLINOIS/MISSISSIPPI,1,355,35,coal,23700,2027-01-25,2027-02-18
TW-033,Heartland Barge,ILLINOIS:245.6-291.1,ILLINOIS,1,355,35,cement,23050,2026-12-20,2027-01-04
