application_id,applicant,commodity,gross_weight_t,overall_width_m,overall_height_m,overall_length_m,axle_count,leg1_corridor_id,leg1_entry_km,leg1_exit_km,leg2_corridor_id,leg2_entry_km,leg2_exit_km,leg3_corridor_id,leg3_entry_km,leg3_exit_km,requested_move_date
APP-001,Seaford Turbine Logistics,Paper machine dryer roll,29.3,4.77,4.15,36.8,9,HC-13N,8.463,9.561,HC-141,5.730,8.970,,,,2026-08-06
APP-002,Keystone Superload Services,Distillation tower shell,24.1,4.33,3.94,30.2,17,HC-13S,0.260,5.070,HC-13K,8.962,12.297,,,,2026-07-01
APP-003,Milford Plant Services,Precast bridge girder,32.0,4.05,3.30,33.8,24,HC-13N,12.857,16.670,,,,,,,2026-05-26
APP-004,Brandywine Heavy Haul LLC,Reactor column section,74.5,5.47,3.53,47.1,15,HC-141,9.687,17.770,HC-13N,16.570,20.135,,,,2026-05-12
APP-005,Nanticoke Rigging Company,Gantry crane leg assembly,50.1,3.20,4.65,25.9,21,HC-13N,7.884,8.386,,,,,,,2026-08-01
APP-006,Iron Hill Heavy Transport,Crawler crane counterweight stack,36.9,3.52,3.65,31.7,24,HC-009,8.882,12.812,,,,,,,2026-06-07
APP-007,Broadkill Heavy Lift,Wind tower base section,31.3,4.28,3.31,28.9,21,HC-13S,0.256,1.080,HC-13K,2.203,5.892,,,,2026-08-04
APP-008,Iron Hill Heavy Transport,Cryogenic storage vessel,28.8,3.91,6.28,24.3,19,HC-13N,20.035,20.633,HC-141,5.615,6.840,,,,2026-08-04
APP-009,Iron Hill Heavy Transport,Generator step-up transformer,25.2,4.17,4.07,48.3,9,HC-13S,0.980,26.234,HC-13K,8.962,10.929,,,,2026-07-25
APP-010,Delmarva Energy Logistics,Reactor column section,40.2,4.31,3.30,33.1,13,HC-301,12.793,16.594,HC-13N,1.320,3.610,,,,2026-05-19
APP-011,Iron Hill Heavy Transport,Wind tower base section,26.6,4.87,4.79,38.3,13,HC-009,6.130,6.262,,,,,,,2026-06-17
APP-012,Seaford Turbine Logistics,Paper machine dryer roll,38.2,4.23,3.32,61.4,11,HC-301,18.763,27.843,,,,,,,2026-04-29
APP-013,Broadkill Heavy Lift,Reactor column section,66.4,3.96,3.68,26.9,15,HC-13K,2.203,5.892,,,,,,,2026-06-18
APP-014,Keystone Superload Services,Cryogenic storage vessel,25.0,4.36,31.19,27.5,15,HC-301,12.793,17.286,,,,,,,2026-07-12
APP-015,Appoquinimink Industrial Movers,Wind tower base section,27.6,5.21,3.88,59.4,11,HC-009,7.755,12.812,,,,,,,2026-05-25
APP-016,Seaford Turbine Logistics,Cryogenic storage vessel,28.0,3.70,4.25,26.3,21,HC-13S,0.980,26.234,,,,,,,2026-05-01
APP-017,Nanticoke Rigging Company,Reactor column section,27.7,4.40,3.78,39.2,19,HC-009,4.086,6.262,HC-13N,7.884,9.460,,,,2026-07-08
APP-018,Christina River Rigging,Turbine nacelle,43.4,4.18,4.64,57.2,13,HC-13S,0.260,4.290,,,,,,,2026-07-07
APP-019,Brandywine Heavy Haul LLC,Distillation tower shell,25.2,3.48,5.82,52.0,15,HC-141,5.615,6.840,HC-13N,8.286,9.561,,,,2026-08-11
