animal_id,sex,sire_id,dam_id,birth_year,breed,breeding_value,status,holding
276000800000453,male,,,1950,Fleckvieh,-1.053913,HISTORIC,
276000800000484,male,,,1950,Fleckvieh,-1.407428,HISTORIC,
276000800000494,male,,,1950,Fleckvieh,-1.472290,HISTORIC,
276000800000495,male,,,1950,Fleckvieh,-1.468537,HISTORIC,
276000800000514,male,,,1950,Fleckvieh,-1.993821,HISTORIC,
276000800000532,male,,,1950,Fleckvieh,-1.846285,HISTORIC,
276000800000533,male,,,1950,Fleckvieh,-1.672442,HISTORIC,
276000800000535,male,,,1950,Fleckvieh,-1.775070,HISTORIC,
276000800000536,male,,,1950,Fleckvieh,-2.361709,HISTORIC,
276000800000565,male,,,1955,Hinterwaelder,-3.235622,HISTORIC,
276000800000574,male,,,1947,Fleckvieh,-1.491686,HISTORIC,
276000800000594,male,,,1950,Fleckvieh,-1.769400,HISTORIC,
276000800000596,male,,,1950,Fleckvieh,-1.880556,HISTORIC,
276000800000622,male,,,1950,Fleckvieh,-1.929897,HISTORIC,
276000800000624,male,,,1955,Hinterwaelder,-2.942045,HISTORIC,
276000800000640,male,,,1950,Fleckvieh,-1.692509,HISTORIC,
276000800000641,male,,,1950,Fleckvieh,-1.911198,HISTORIC,
276000800000644,male,,,1950,Fleckvieh,-1.971849,HISTORIC,
276000800000657,male,,,1950,Fleckvieh,-2.018231,HISTORIC,
276000800000661,male,,,1950,Fleckvieh,-2.039270,HISTORIC,
276000800000663,male,,,1950,Fleckvieh,-2.115080,HISTORIC,
276000800000675,male,,,1955,Hinterwaelder,-3.251338,HISTORIC,
276000800000678,male,,,1950,Fleckvieh,-1.306498,HISTORIC,
276000800000698,male,,,1950,Fleckvieh,-1.750138,HISTORIC,
276000800000699,male,,,1960,Fleckvieh,-1.499252,HISTORIC,
276000800000711,male,,,1950,Fleckvieh,-2.062047,HISTORIC,
276000800000723,male,,,1950,Fleckvieh,-2.084308,HISTORIC,
276000800000749,male,,,1955,Hinterwaelder,-2.758981,HISTORIC,
276000800000766,male,,,1950,Fleckvieh,-1.439559,HISTORIC,
276000800000767,male,,,1950,Fleckvieh,-2.389490,HISTORIC,
276000800000786,male,,,1950,Fleckvieh,-2.532341,HISTORIC,
276000800000800,male,,,1950,Fleckvieh,-2.572161,HISTORIC,
276000800000855,male,,,1950,Fleckvieh,-1.704120,HISTORIC,
276000800000884,male,,,1950,Fleckvieh,-1.664381,HISTORIC,
276000800002219,female,,,,unbek0,,HISTORIC,
276000800002517,female,,,,unbek0,,HISTORIC,
276000800002521,female,,,,unbek0,,HISTORIC,
276000800002675,female,,,,unbek0,,HISTORIC,
276000800002883,female,,,,unbek0,,HISTORIC,
276000800002966,female,,,,unbek0,,HISTORIC,
276000800003025,female,,,,unbek0,,HISTORIC,
276000800003243,female,,,,unbek0,,HISTORIC,
276000800003289,female,,,,unbek0,,HISTORIC,
276000800003305,female,,,,unbek0,,HISTORIC,
276000800003498,female,,,,unbek0,,HISTORIC,
276000800003539,female,,,1956,Hinterwaelder,-2.851052,HISTORIC,
276000800003607,female,,,,unbek0,,HISTORIC,
276000800003687,female,,,,unbek0,,HISTORIC,
276000800003691,female,,,1957,Hinterwaelder,-2.579318,HISTORIC,
276000800004087,female,,,,unbek0,,HISTORIC,
276000800004266,female,,,,unbek0,,HISTORIC,
276000800004288,female,,,,unbek0,,HISTORIC,
276000802060453,male,,,,unbek0,,HISTORIC,
276000802060533,male,,,,unbek0,,HISTORIC,
276000802060566,male,,,,unbek0,,HISTORIC,
276000802060573,male,,,1955,Hinterwaelder,-2.960310,HISTORIC,
276000802060574,male,,,,unbek0,,HISTORIC,
276000802060614,male,,,,unbek0,,HISTORIC,
276000802060632,male,,,1955,Hinterwaelder,-2.829585,HISTORIC,
276000802060840,male,,,,unbek0,,HISTORIC,
276000802060854,male,,,,unbek0,,HISTORIC,
276000802883951,female,,,1978,Hinterwaelder,-0.322888,HISTORIC,
276000802420311,female,,,1956,Hinterwaelder,-2.277073,HISTORIC,
276000802420312,female,,,1956,Hinterwaelder,-2.735582,HISTORIC,
276000802420110,female,,,1956,Hinterwaelder,-2.946050,HISTORIC,
276000803611185,male,276000800000749,276000802420110,1963,Hinterwaelder,-2.344856,HISTORIC,
276000802423216,male,276000803611185,276000802420312,1965,Hinterwaelder,-2.649890,HISTORIC,
276000802425183,female,276000802423216,276000802420311,1969,Hinterwaelder,-2.403150,HISTORIC,
276000802420745,female,,,1948,Hinterwaelder,-3.256097,HISTORIC,
276000802420748,female,,276000802420745,1963,Hinterwaelder,-2.805665,HISTORIC,
276000802420360,female,,,1951,Hinterwaelder,-3.090188,HISTORIC,
276000802422219,female,276000802060533,,1957,Hinterwaelder,-2.050123,HISTORIC,
276000802820032,female,,,1956,Hinterwaelder,-3.207998,HISTORIC,
276000803611139,male,276000800000622,276000802820032,1960,Hinterwaelder,-2.362629,HISTORIC,
276000803611208,male,276000803611139,276000802422219,1964,Hinterwaelder,-1.363393,HISTORIC,
276000803611255,male,276000803611208,276000802420360,1966,Hinterwaelder,-1.395752,HISTORIC,
276000803611307,male,276000803611255,276000802420748,1970,Hinterwaelder,-2.225307,HISTORIC,
276000802429339,female,276000803611307,276000802425183,1975,Hinterwaelder,-1.511611,HISTORIC,
276000802420439,female,,,1957,Hinterwaelder,-3.253407,HISTORIC,
276000802422757,female,276000803611185,276000802420439,1965,Hinterwaelder,-2.069508,HISTORIC,
276000803611045,male,,,1965,Vorderwaelder,-1.327731,HISTORIC,
276000803622421,male,276000803611045,276000802422757,1973,Hinterwaelder,-1.634267,HISTORIC,
276000802883607,female,276000803622421,276000802429339,1977,Hinterwaelder,-1.234898,HISTORIC,
276000803611144,male,276000800000624,276000800003539,1960,Hinterwaelder,-2.769797,HISTORIC,
276000802420444,female,276000803611144,276000802420439,1963,Hinterwaelder,-2.687109,HISTORIC,
276000802420231,female,,,1955,Hinterwaelder,-3.346268,HISTORIC,
276000802420234,female,276000800000514,276000802420231,1957,Hinterwaelder,-2.032883,HISTORIC,
276000803611166,male,276000800000675,276000800003691,1962,Hinterwaelder,-2.548495,HISTORIC,
276000803611220,male,276000803611166,276000802420234,1964,Hinterwaelder,-2.224601,HISTORIC,
276000802425029,female,276000803611220,276000802420444,1968,Hinterwaelder,-2.649598,HISTORIC,
276000802420535,female,,,1959,Hinterwaelder,-2.669986,HISTORIC,
276000802420316,female,,,1954,Hinterwaelder,-2.940012,HISTORIC,
276000803611244,male,276000803611185,276000802420316,1966,Hinterwaelder,-2.529014,HISTORIC,
276000803611282,male,276000803611244,276000802420535,1968,Hinterwaelder,-2.518600,HISTORIC,
276000802427683,female,276000803611282,276000802425029,1972,Hinterwaelder,-1.776715,HISTORIC,
276000802420315,female,,,1959,Hinterwaelder,-2.340357,HISTORIC,
276000802422567,female,276000803611144,276000802420315,1963,Hinterwaelder,-2.493696,HISTORIC,
276000802425028,female,276000803611220,276000802422567,1968,Hinterwaelder,-2.129706,HISTORIC,
276000802841762,male,,,1970,Vorderwaelder,-0.548149,HISTORIC,
276000802429359,male,276000802841762,276000802425028,1975,Hinterwaelder,-0.916638,HISTORIC,
276000802883667,male,276000802429359,276000802427683,1977,Hinterwaelder,-0.661990,HISTORIC,
276000802898622,male,276000802883667,276000802883607,1982,Hinterwaelder,-0.975621,HISTORIC,
276000802908726,female,276000802898622,276000802883951,1985,Hinterwaelder,-0.619842,HISTORIC,
276000803611132,male,276000800000594,,1958,Hinterwaelder,-2.251206,HISTORIC,
276000802420513,female,276000803611132,,1962,Hinterwaelder,-2.012074,HISTORIC,
276000802420631,female,,,1956,Hinterwaelder,-3.296468,HISTORIC,
276000803611200,male,,276000802420631,1963,Hinterwaelder,-2.130718,HISTORIC,
276000802423981,female,276000803611200,276000802420513,1967,Hinterwaelder,-2.371500,HISTORIC,
276000802427675,female,276000803611282,276000802420444,1972,Hinterwaelder,-2.114794,HISTORIC,
276000802420085,female,,,1958,Hinterwaelder,-2.880637,HISTORIC,
276000802420346,female,,,1952,Hinterwaelder,-2.991439,HISTORIC,
276000802420314,female,276000800000535,276000800002883,1957,Hinterwaelder,-1.515494,HISTORIC,
276000803611138,male,276000800000594,276000802420314,1959,Hinterwaelder,-1.138408,HISTORIC,
276000803611172,male,276000803611138,276000802420346,1962,Hinterwaelder,-1.705216,HISTORIC,
276000802423372,female,276000803611172,276000802420085,1966,Hinterwaelder,-2.467796,HISTORIC,
276000802420706,female,,,1952,Hinterwaelder,-3.371768,HISTORIC,
276000803611141,male,276000800000624,,1960,Hinterwaelder,-2.748647,HISTORIC,
276000802422286,female,276000803611141,276000802420706,1963,Hinterwaelder,-2.229288,HISTORIC,
276000803611198,male,276000800000749,,1963,Hinterwaelder,-2.526516,HISTORIC,
