holding_code,holding_name,region,country,health_status,breeding_places,breeding_places_occupied,isolation_boxes,isolation_boxes_occupied
AMH,Ambringer Hof,Breisgau,DE,HS_A,5,3,8,6
BLK,Bollenbach Kleinhof,Kinzigtal,DE,HS_A,4,3,7,7
DRW,Dreisamtal Weidehof,Dreisamtal,DE,HS_B,4,2,6,5
ELZ,Elztaler Bergweide,Elztal,DE,HS_A,5,3,8,7
FRB,Freiburger Lehrbetrieb,Breisgau,DE,HS_B,3,2,6,7
GLT,Glottertal Hochhof,Glottertal,DE,HS_C,3,2,5,5
HRB,Herrenberg Talhof,Kinzigtal,DE,HS_A,4,3,7,6
KAN,Kandelblick Hofgut,Elztal,DE,HS_B,3,1,6,5
LNZ,Loerracher Zuchtstall,Markgraeflerland,DE,HS_B,4,3,7,7
MUN,Muenstertal Almhof,Muenstertal,DE,HS_A,4,4,6,5
OBR,Oberried Bergstall,Dreisamtal,DE,HS_C,3,3,5,5
PRG,Prechtal Gutshof,Elztal,DE,HS_B,3,3,6,7
SCH,Schauinsland Weidgut,Breisgau,DE,HS_A,5,4,8,6
TDN,Todtnauer Hochweide,Wiesental,DE,HS_B,4,4,7,7
URB,Urberg Zuchtgemeinschaft,Hotzenwald,DE,HS_A,4,4,6,6
VOG,Vogtsburg Kaiserstuhlhof,Kaiserstuhl,DE,HS_C,3,3,5,6
WLD,Waldkircher Hofverbund,Elztal,DE,HS_B,4,4,7,6
ZRN,Zaerner Hoehenbetrieb,Basel-Land,CH,HS_A,4,4,7,6
