record_id,animal_id,weighed_on,liveweight_kg,condition_score,recorded_by
W0001,276000802947937,2009-10-04,651,3,Dr. med. vet. H. Trenkle
W0002,276000802947937,2010-02-09,607,3,TA S. Dold
W0003,276000810063778,2009-09-19,379,3,Dr. med. vet. H. Trenkle
W0004,276000810063778,2010-02-16,352,4,Dr. med. vet. K. Ruesch
W0005,276000810331698,2009-09-21,492,3,TA S. Dold
W0006,276000810331698,2010-02-07,510,4,TA J. Kienzler
W0007,276000810332265,2009-10-29,410,3,TA J. Kienzler
W0008,276000810332265,2010-01-12,431,3,Dr. med. vet. K. Ruesch
W0009,276000810332266,2009-09-01,779,3,Dr. med. vet. H. Trenkle
W0010,276000810332266,2010-02-12,771,4,TA J. Kienzler
W0011,276000810713973,2009-09-19,419,4,Dr. med. vet. B. Faller
W0012,276000810713973,2010-02-17,382,3,Dr. med. vet. E. Schuermann
W0013,276000810748278,2009-10-23,490,2,TA J. Kienzler
W0014,276000810748278,2010-01-19,525,4,Dr. med. vet. K. Ruesch
W0015,276000810816182,2009-09-23,366,3,TA S. Dold
W0016,276000810816182,2010-02-07,383,3,TA J. Kienzler
W0017,276000811082009,2009-10-30,386,3,Dr. med. vet. K. Ruesch
W0018,276000811082009,2010-02-05,409,3,TA S. Dold
W0019,276000811815586,2009-09-08,674,3,Dr. med. vet. B. Faller
W0020,276000811815586,2010-01-16,687,3,Dr. med. vet. K. Ruesch
W0021,276000811823366,2009-09-17,381,2,Dr. med. vet. B. Faller
W0022,276000811823366,2010-01-13,389,3,TA M. Winterhalder
W0023,276000811902918,2009-09-03,425,3,Dr. med. vet. K. Ruesch
W0024,276000811902918,2010-01-29,474,3,Dr. med. vet. B. Faller
W0025,276000812081697,2009-10-16,556,3,TA M. Winterhalder
W0026,276000812081697,2010-01-18,516,2,TA S. Dold
W0027,276000812140647,2009-10-25,594,3,TA S. Dold
W0028,276000812140647,2010-02-12,566,2,Dr. med. vet. H. Trenkle
W0029,276000812201874,2009-10-29,372,3,Dr. med. vet. H. Trenkle
W0030,276000812201874,2010-01-10,358,3,Dr. med. vet. B. Faller
W0031,276000812201924,2009-09-25,475,3,TA M. Winterhalder
W0032,276000812201924,2010-01-25,514,3,Dr. med. vet. K. Ruesch
W0033,276000812202049,2009-09-04,578,4,TA J. Kienzler
W0034,276000812202049,2010-01-24,529,4,Dr. med. vet. K. Ruesch
W0035,276000812202054,2009-09-13,604,3,Dr. med. vet. E. Schuermann
W0036,276000812202054,2010-02-05,586,4,Dr. med. vet. A. Baumgartner
W0037,276000812346916,2009-10-21,417,2,Dr. med. vet. H. Trenkle
W0038,276000812346916,2010-02-05,400,3,Dr. med. vet. A. Baumgartner
W0039,276000812347135,2009-10-06,410,2,Dr. med. vet. E. Schuermann
W0040,276000812347135,2010-01-22,449,3,TA S. Dold
W0041,276000812347220,2009-09-15,347,2,Dr. med. vet. E. Schuermann
W0042,276000812347220,2010-01-10,370,3,Dr. med. vet. B. Faller
W0043,276000812433061,2009-09-08,381,4,TA S. Dold
W0044,276000812433061,2010-02-06,396,3,TA J. Kienzler
W0045,276000812433080,2009-09-23,629,4,Dr. med. vet. K. Ruesch
W0046,276000812433080,2010-01-11,593,3,TA J. Kienzler
W0047,276000812496746,2009-10-31,474,2,Dr. med. vet. B. Faller
W0048,276000812496746,2010-01-11,514,2,Dr. med. vet. A. Baumgartner
W0049,276000812496867,2009-09-12,389,2,TA J. Kienzler
W0050,276000812496867,2010-01-10,414,2,Dr. med. vet. H. Trenkle
W0051,276000812496887,2009-09-13,475,2,Dr. med. vet. E. Schuermann
W0052,276000812496887,2010-01-31,509,3,Dr. med. vet. H. Trenkle
W0053,276000812496917,2009-09-20,526,3,TA M. Winterhalder
W0054,276000812496917,2010-01-12,543,3,TA M. Winterhalder
W0055,276000812497309,2009-10-02,410,3,Dr. med. vet. E. Schuermann
W0056,276000812497309,2010-01-22,386,4,Dr. med. vet. B. Faller
W0057,276000812688840,2009-10-24,424,2,Dr. med. vet. B. Faller
W0058,276000812688840,2010-02-04,403,3,TA J. Kienzler
W0059,276000812689042,2009-09-02,484,3,Dr. med. vet. A. Baumgartner
W0060,276000812689042,2010-02-06,481,2,TA S. Dold
W0061,276000812689145,2009-09-15,470,3,Dr. med. vet. K. Ruesch
W0062,276000812689145,2010-01-16,516,3,Dr. med. vet. H. Trenkle
