site_id,partner_org,region,city_state,nct_id,travel_nights
S01,Cleveland Clinic,Midwest,"Cleveland, OH",NCT00000361,2
S02,Cleveland Clinic,Midwest,"Cleveland, OH",NCT00000579,2
S03,Cleveland Clinic,Midwest,"Cleveland, OH",NCT00070564,2
S04,Cleveland Clinic,Midwest,"Cleveland, OH",NCT00004732,2
S05,Duke University,South,"Durham, NC",NCT00009906,2
S06,Duke University,South,"Durham, NC",NCT00000133,2
S07,Duke University,South,"Durham, NC",NCT00005398,2
S08,Duke University,South,"Durham, NC",NCT00003861,2
S09,Johns Hopkins,Northeast,"Baltimore, MD",NCT00000243,1
S10,Johns Hopkins,Northeast,"Baltimore, MD",NCT00000133,1
S11,Johns Hopkins,Northeast,"Baltimore, MD",NCT00217737,1
S12,Johns Hopkins,Northeast,"Baltimore, MD",NCT00000143,1
S13,MD Anderson Cancer Center,South,"Houston, TX",NCT00002976,2
S14,MD Anderson Cancer Center,South,"Houston, TX",NCT00006025,2
S15,MD Anderson Cancer Center,South,"Houston, TX",NCT00076310,2
S16,MD Anderson Cancer Center,South,"Houston, TX",NCT00038610,2
S17,Massachusetts General Hospital,Northeast,"Boston, MA",NCT00003847,1
S18,Massachusetts General Hospital,Northeast,"Boston, MA",NCT00000173,1
S19,Massachusetts General Hospital,Northeast,"Boston, MA",NCT00070499,1
S20,Massachusetts General Hospital,Northeast,"Boston, MA",NCT00000143,1
S21,Mayo Clinic,Midwest,"Rochester, MN",NCT00002976,2
S22,Mayo Clinic,Midwest,"Rochester, MN",NCT00000117,2
S23,Mayo Clinic,Midwest,"Rochester, MN",NCT00045201,2
S24,Mayo Clinic,Midwest,"Rochester, MN",NCT00004732,2
S25,Mount Sinai,Northeast,"New York, NY",NCT00002796,1
S26,Mount Sinai,Northeast,"New York, NY",NCT00000139,1
S27,Mount Sinai,Northeast,"New York, NY",NCT00003641,1
S28,Mount Sinai,Northeast,"New York, NY",NCT00000143,1
S29,Stanford University,West,"Stanford, CA",NCT00000752,3
S30,Stanford University,West,"Stanford, CA",NCT00000408,3
S31,Stanford University,West,"Stanford, CA",NCT00003641,3
S32,Stanford University,West,"Stanford, CA",NCT00009633,3
S33,UCLA,West,"Los Angeles, CA",NCT00000419,3
S34,UCLA,West,"Los Angeles, CA",NCT00000420,3
S35,UCLA,West,"Los Angeles, CA",NCT00268385,3
S36,UCLA,West,"Los Angeles, CA",NCT00031408,3
S37,UCSF,West,"San Francisco, CA",NCT00000577,3
S38,UCSF,West,"San Francisco, CA",NCT00000139,3
S39,UCSF,West,"San Francisco, CA",NCT00217737,3
S40,UCSF,West,"San Francisco, CA",NCT00000143,3
S41,University of Michigan,Midwest,"Ann Arbor, MI",NCT00002976,2
S42,University of Michigan,Midwest,"Ann Arbor, MI",NCT00000171,2
S43,University of Michigan,Midwest,"Ann Arbor, MI",NCT00070499,2
S44,University of Michigan,Midwest,"Ann Arbor, MI",NCT00004732,2
S45,Vanderbilt University,South,"Nashville, TN",NCT00002819,2
S46,Vanderbilt University,South,"Nashville, TN",NCT00000133,2
S47,Vanderbilt University,South,"Nashville, TN",NCT00003641,2
S48,Vanderbilt University,South,"Nashville, TN",NCT00031408,2
