report,source_url,text_sha256,words
z01,https://storage.courtlistener.com/pdf/2026/08/20/alberto_garcia_rodriguez_v._state_of_indiana.pdf,f0c670dd665f1b6ccd7f4ae0f835c5151c3fd210e26096b3839128a0080cf028,4800
z02,https://storage.courtlistener.com/pdf/2026/08/20/royal_r_davis_jr._v._state_of_indiana.pdf,33dc5d084ed5d27a8778e3d75cb5d14eb6a08a538e9c8d8e4de1a946d13b6d50,7083
z03,https://storage.courtlistener.com/pdf/2026/08/18/coltin_drew_herzog_v._state_of_indiana.pdf,5ec5c2bdaffadc197ee896b763fd9fc37222b15003a8a053cf1037c157685b61,3828
z04,https://storage.courtlistener.com/pdf/2026/08/18/echo_greenwood_llc_v._a_dental_touch_llc.pdf,631614e0ed217df145f85324cf86e58f503ac1335fbc89d18774164ff59269b5,5557
z05,https://storage.courtlistener.com/pdf/2026/08/18/paul_shafer_v._jason_w._grube.pdf,ccb50c2cc27cc3bcc1f7cbddb0355a57c711b0d4cd5b270a6889d08ff19371fc,5838
z06,https://storage.courtlistener.com/pdf/2026/08/13/ehf-indiana4_llc_as_successor_in_interest_to_gfm-indiana4_llc_v._mm.pdf,3e3b86f9e02b71820873a3ed7b5cf6aa7ac60a511d948a017839267e25513ab5,3257
z07,https://storage.courtlistener.com/pdf/2026/08/11/earl_e_myers_jr._v._state_of_indiana.pdf,dacf308328a626a02a2e3fa174f1739123dc5a61a584bfdb0af7e15d200477c5,3880
z08,https://storage.courtlistener.com/pdf/2026/08/10/dewitt_hemphill_sr._v._state_of_indiana.pdf,2bc5800d70579baf66ca56a5c4f62bde024e62dcb0fd5df374176993659ef1d6,2713
z09,https://storage.courtlistener.com/pdf/2026/08/07/akeenen_hunt_v._state_of_indiana.pdf,44dc2fdcd168f4581de083931f6fd57e9ab2fc391e90d66e7d8532b49ca5616a,8258
z10,https://storage.courtlistener.com/pdf/2026/08/07/coltin_drew_herzog_v._state_of_indiana.pdf,ee2a5ad9e4aa2eccff9aa847b384a86987a89224fee2cec8d0b48d260797ea4b,4395
z11,https://storage.courtlistener.com/pdf/2026/08/05/demontre_lamont_boyd_v._state_of_indiana.pdf,d513429cd9e4699ec3462e696bb75ab20500b44d01226c9d214118b1e9a00269,6140
z12,https://storage.courtlistener.com/pdf/2026/07/31/hannah_janowiak_v._kenneth_sandage.pdf,757f9de100cadfdd4b94a6dec22d5004e4f89851e09ecc0a682f0e2a6df738e0,7423
