report,source_url,text_sha256,words
v01,https://storage.courtlistener.com/pdf/2026/08/19/dept._of_human_services_v._j._c._r.-w..pdf,95b5084e385f007f61c371806073c3e6a7459d05e34ad25e6d70ecd2214c9bdd,4033
v02,https://storage.courtlistener.com/pdf/2026/08/19/state_v._bordeaux__bordeaux.pdf,a1b508937d511b4238637206fd00e762a9bbd6b6c8ee7ca7805fe4c765293575,6593
v03,https://storage.courtlistener.com/pdf/2026/08/19/state_v._cortez-orta.pdf,7821d18456900fb76f0947d65c5df329e58b88942c26d51575337802f6f1f820,2978
v04,https://storage.courtlistener.com/pdf/2026/08/19/state_v._deangelo.pdf,b9ebfdfc71f1c40b4fcd5065b7d7f345b7091784500818c408bda081ab714ee2,2624
v05,https://storage.courtlistener.com/pdf/2026/08/19/state_v._hambrick.pdf,420fd3121f49c9af5e4722adf3806dbf1d77455268a488e16998167d58445659,6879
v06,https://storage.courtlistener.com/pdf/2026/08/19/walker__washburn_v._progressive_universal_ins._co..pdf,f84058951c0dac75069d961052853380fda7bae657fa6094e9b81e0ddb73dde7,3073
v07,https://storage.courtlistener.com/pdf/2026/08/12/a._l._t._v._odell.pdf,a115772b40bb945123b098878a8ac08829d0ca580f211d61fca2be9f0d8cb127,3424
v08,https://storage.courtlistener.com/pdf/2026/08/12/briggs_v._lincoln_county.pdf,8dd3ba18ef837b2617b95947435217cc2082af90b575c62f163efba2cf7da5de,8389
v09,https://storage.courtlistener.com/pdf/2026/08/12/klamath_falls_assn._v._klamath_falls_city_schools.pdf,d4dc0b824736cf4c017815a6aa5ce7d20a8a72288ba2fdff364b198967078dea,4543
v10,https://storage.courtlistener.com/pdf/2026/08/12/state_v._t._l._e..pdf,6d48be728e9fe677ed665d009e9b28b1948064b9abfca13524d3515b86fe0918,5370
v11,https://storage.courtlistener.com/pdf/2026/08/05/state_v._moore.pdf,db6e2d322b7339c3dce02118d34938fa811cbafa5c7fcf40453fe1d161140060,9451
v12,https://storage.courtlistener.com/pdf/2026/07/29/dept._of_human_services_v._t._r._s._1.pdf,1fdd13d96e7a5d88a9d2a610b283fac27c1f02de4cc1c6e84152e80c5a9ffc09,4771
v13,https://storage.courtlistener.com/pdf/2026/07/29/state_v._klaus_1.pdf,c5342d1b74b1a7c157653493427fa5dc60640d2f5e452f221c07a7a9952a2934,8963
v14,https://storage.courtlistener.com/pdf/2026/07/29/state_v._lonergan_1.pdf,f75d06fb9b5ab63695779445ba6b3b5ab89bb88cf07d96c1277480bde6e93a07,3062
v15,https://storage.courtlistener.com/pdf/2026/07/29/state_v._yemelyanov_1.pdf,4a16799d6b0cd427958a7aa670679c81db2a81c0aac6d87793d8d98e879bb516,3513
v16,https://storage.courtlistener.com/pdf/2026/07/29/state_v._wear.pdf,724443130d7c0eb1a5c59b507169d208c53959088faeacd423b02990d670ec44,4461
v17,https://storage.courtlistener.com/pdf/2026/07/22/hsi_security_systems_v._lawrence_law_1.pdf,fc06ff9297b839835e0f984492d999e9e7a43ff948944cfc0ce828fa588bc02d,3739
v18,https://storage.courtlistener.com/pdf/2026/07/22/state_v._thomas_2.pdf,18538900383529df34412f101481994d707ebbc927b26982b103004e5c59bc75,5453
v19,https://storage.courtlistener.com/pdf/2026/07/15/dept._of_human_services_v._c._a._w.__t._w._1.pdf,6192bff10785a04ac2a333a448a6697c7cd12bd1e3a298a50c766da8e3c2ddf1,5590
v20,https://storage.courtlistener.com/pdf/2026/07/15/hellman_v._tucker_1.pdf,bfa38c574a70635e22b4630fd9e74d38f053b5eb5044d739d13ff084f007b37c,3155
v21,https://storage.courtlistener.com/pdf/2026/07/15/state_v._key_1.pdf,8968a3baf6091f4255dffc96a6af591af8f79f4947f33f077810196a010e2b87,4138
v22,https://storage.courtlistener.com/pdf/2026/07/15/state_v._mcdonald_1.pdf,c57bb3d5286a3592c4fa747b138ee7c3b9dbb64aad5df19a6c6b1643ea342f55,4512
v23,https://storage.courtlistener.com/pdf/2026/07/08/continental_casualty_co._v._argonaut_ins._co._a176763_2.pdf,fd07618807fbf44143ec1f1f3cb2e2a9fc15f4fa416b5a7173e4656b6a42cb59,15665
v24,https://storage.courtlistener.com/pdf/2026/07/08/dept._of_human_services_v._c._d._2.pdf,295570d04fd38f6978059d7982954beb69320b81a7a3ac22355cf03afbc7c0e7,4249
v25,https://storage.courtlistener.com/pdf/2026/07/08/state_v._rogers_1.pdf,ef81a1473f6b5015b690936a7655970e239a7af9c70210145f24ecdf291d7aa3,6739
v26,https://storage.courtlistener.com/pdf/2026/07/01/atwood_v._dept._of_transportation_1.pdf,cba38a3a634fca96fa30727275f6d9607bc14991451b07f5977e20e85d30ed56,6919
v27,https://storage.courtlistener.com/pdf/2026/07/01/estate_of_grant_raymond_fisher_v._lee_1.pdf,eb070ab3b11727df1b19572c799315668a782e98de6acdd45250e52c7e49c1ca,3567
v28,https://storage.courtlistener.com/pdf/2026/07/01/flangas_and_flangas_1.pdf,0972df38fe1eb0c22c4425a805a309efd7cab0db362e83e20b24da5c9980cf42,2582
v29,https://storage.courtlistener.com/pdf/2026/07/01/paradigm_dental_llc_v._city_of_beaverton_1.pdf,6f754d1178f6de18c3385e318e271e41731bcee98dcc466586f8ea74ac4658c0,2542
v30,https://storage.courtlistener.com/pdf/2026/07/01/sergeyev_v._vasylenko_1.pdf,a23fdcd53559f12a9502d874bee5a78f9e0784574a97042a7d61d4954bcd41b4,4122
v31,https://storage.courtlistener.com/pdf/2026/07/01/state_v._hicks_1.pdf,3c6f284759ae5700e333231c64a38a553f0a480d118da422096b2be858a9ffa4,3733
v32,https://storage.courtlistener.com/pdf/2026/07/01/state_v._munoz_1.pdf,8bd45af05f24d54bbbde075a77e46a8fabc13057018935c11e13d431a9af59bb,4846
v33,https://storage.courtlistener.com/pdf/2026/07/01/state_v._rabago_1.pdf,85b66294ad0fa1b12041b09eefef9b3e073dc9f8e196d2844b49e5be7c882152,2538
v34,https://storage.courtlistener.com/pdf/2026/07/01/dept._of_human_services_v._c._k..pdf,27b2248f58e7cf96a6f89f385d06a390094850e0815478129e4d16c41b3a1dda,4532
v35,https://storage.courtlistener.com/pdf/2026/07/01/state_v._b._a._r..pdf,19989f7d99f193dac1ea0911e5a9022e6d13f335d66aff9c007dc6942e80c1d7,3883
v36,https://storage.courtlistener.com/pdf/2026/06/24/state_v._trujillo-torres_2.pdf,dca9f29be36f65039f8b2f63c8467905f71b3049d619a33145dfa7c838ad4d76,2919
v37,https://storage.courtlistener.com/pdf/2026/06/24/dept._of_human_services_v._a._s..pdf,49b751374df70cc65f1acf90472971726230f77c491e53c8268e9928359e80c0,10983
v38,https://storage.courtlistener.com/pdf/2026/06/17/decker_v._sundquist_1.pdf,9d66b73a17594aa1a6ee620bdec05be2a251a7bd8fdc49b1ed80d19b0a66e83e,7535
v39,https://storage.courtlistener.com/pdf/2026/06/17/state_v._baker_1.pdf,7d597aab01d313190c0e7fe17e92976a8e54bc0ab05747d684f6ac36c180f5c5,5182
v40,https://storage.courtlistener.com/pdf/2026/06/17/state_v._crawford_1.pdf,ce8c2a19dfc47ed4cfe08e46bf48c28de8f1db9b16e824029afe62c4b0ae8a29,7044
v41,https://storage.courtlistener.com/pdf/2026/06/17/state_v._kayne_1.pdf,f949acaa1ea70489e86e25bb645db18f8bf41f4745af4b6fe70f226de54a27cf,2958
v42,https://storage.courtlistener.com/pdf/2026/06/17/state_v._snyder_1.pdf,9340ff93d83b10898ae7800dff8b18eb2d8af75799ae8efb3a0702f495a90da2,4670
v43,https://storage.courtlistener.com/pdf/2026/06/17/state_v._tetlctle_1.pdf,f49c69aac7084d891f28dd7a436f6b9fd58ca750c2c38ffba76f41cd054dcd94,6085
v44,https://storage.courtlistener.com/pdf/2026/06/17/state_v._vincent_1.pdf,3a6d4e7b9a6a3b9f651c5ccaff64dddd5c0529d633b74f6f702222273a08c8aa,4041
v45,https://storage.courtlistener.com/pdf/2026/06/10/allen_v._miller_1.pdf,169dcbb4227f5865c25eb05e7128dfafd5c74a9cb899d6dead6714634d0364da,6095
v46,https://storage.courtlistener.com/pdf/2026/06/10/beamon_v._saif_1.pdf,2a1d58468dbcc0fec81c6eaf7303738e97234681c663747b776abb96eb83d63e,2582
v47,https://storage.courtlistener.com/pdf/2026/06/10/jones_v._board_of_parole_1.pdf,94b1b8c01b79aac6de0c6685f457d66bdafdc9bf0994bd93ebee3b832d38debf,6506
v48,https://storage.courtlistener.com/pdf/2026/06/10/sherman_and_sherman_1.pdf,7ca51ca548ce03f7e6507a74a065a09a50e2fc100fdfd068e168290d6589606f,2634
