report,url,source,retrieved
a01,https://www.federalregister.gov/documents/2026-15601,Federal Register API (FCC rulemaking releases),2026-07
a02,https://www.federalregister.gov/documents/2026-15598,Federal Register API (FCC rulemaking releases),2026-07
a03,https://www.federalregister.gov/documents/2026-15123,Federal Register API (FCC rulemaking releases),2026-07
a04,https://www.federalregister.gov/documents/2026-14673,Federal Register API (FCC rulemaking releases),2026-07
a05,https://www.federalregister.gov/documents/2026-13998,Federal Register API (FCC rulemaking releases),2026-07
a06,https://www.federalregister.gov/documents/2026-13155,Federal Register API (FCC rulemaking releases),2026-07
a07,https://www.federalregister.gov/documents/2026-12766,Federal Register API (FCC rulemaking releases),2026-07
a08,https://www.federalregister.gov/documents/2026-10011,Federal Register API (FCC rulemaking releases),2026-07
a09,https://www.federalregister.gov/documents/2026-10008,Federal Register API (FCC rulemaking releases),2026-07
a10,https://www.federalregister.gov/documents/2026-09822,Federal Register API (FCC rulemaking releases),2026-07
a11,https://www.federalregister.gov/documents/2026-09565,Federal Register API (FCC rulemaking releases),2026-07
a12,https://www.federalregister.gov/documents/2026-09083,Federal Register API (FCC rulemaking releases),2026-07
a13,https://www.federalregister.gov/documents/2026-07622,Federal Register API (FCC rulemaking releases),2026-07
a14,https://www.federalregister.gov/documents/2026-06992,Federal Register API (FCC rulemaking releases),2026-07
a15,https://www.federalregister.gov/documents/2026-06866,Federal Register API (FCC rulemaking releases),2026-07
a16,https://www.federalregister.gov/documents/2026-06864,Federal Register API (FCC rulemaking releases),2026-07
a17,https://www.federalregister.gov/documents/2026-06239,Federal Register API (FCC rulemaking releases),2026-07
a18,https://www.federalregister.gov/documents/2026-03744,Federal Register API (FCC rulemaking releases),2026-07
a19,https://www.federalregister.gov/documents/2026-03066,Federal Register API (FCC rulemaking releases),2026-07
a20,https://www.federalregister.gov/documents/2026-01441,Federal Register API (FCC rulemaking releases),2026-07
a21,https://www.federalregister.gov/documents/2026-01279,Federal Register API (FCC rulemaking releases),2026-07
a22,https://www.federalregister.gov/documents/2026-01053,Federal Register API (FCC rulemaking releases),2026-07
a23,https://www.federalregister.gov/documents/2026-00587,Federal Register API (FCC rulemaking releases),2026-07
a24,https://www.federalregister.gov/documents/2025-22437,Federal Register API (FCC rulemaking releases),2026-07
a25,https://www.federalregister.gov/documents/2025-22434,Federal Register API (FCC rulemaking releases),2026-07
a26,https://www.federalregister.gov/documents/2025-22125,Federal Register API (FCC rulemaking releases),2026-07
a27,https://www.federalregister.gov/documents/2025-21001,Federal Register API (FCC rulemaking releases),2026-07
a28,https://www.federalregister.gov/documents/2025-17895,Federal Register API (FCC rulemaking releases),2026-07
a29,https://www.federalregister.gov/documents/2025-16375,Federal Register API (FCC rulemaking releases),2026-07
a30,https://www.federalregister.gov/documents/2025-15809,Federal Register API (FCC rulemaking releases),2026-07
a31,https://www.federalregister.gov/documents/2025-14725,Federal Register API (FCC rulemaking releases),2026-07
a32,https://www.federalregister.gov/documents/2025-13107,Federal Register API (FCC rulemaking releases),2026-07
a33,https://www.federalregister.gov/documents/2025-12579,Federal Register API (FCC rulemaking releases),2026-07
a34,https://www.federalregister.gov/documents/2025-10476,Federal Register API (FCC rulemaking releases),2026-07
a35,https://www.federalregister.gov/documents/2025-07643,Federal Register API (FCC rulemaking releases),2026-07
a36,https://www.federalregister.gov/documents/2025-07641,Federal Register API (FCC rulemaking releases),2026-07
a37,https://www.federalregister.gov/documents/2025-04811,Federal Register API (FCC rulemaking releases),2026-07
a38,https://www.federalregister.gov/documents/2025-04126,Federal Register API (FCC rulemaking releases),2026-07
a39,https://www.federalregister.gov/documents/2025-02961,Federal Register API (FCC rulemaking releases),2026-07
a40,https://www.federalregister.gov/documents/2024-29967,Federal Register API (FCC rulemaking releases),2026-07
a41,https://www.federalregister.gov/documents/2024-29313,Federal Register API (FCC rulemaking releases),2026-07
a42,https://www.federalregister.gov/documents/2024-29290,Federal Register API (FCC rulemaking releases),2026-07
a43,https://www.federalregister.gov/documents/2024-28993,Federal Register API (FCC rulemaking releases),2026-07
a44,https://www.federalregister.gov/documents/2024-28980,Federal Register API (FCC rulemaking releases),2026-07
